family,map,config,instance,alg,expanded,cost,optimal,time_ms,status,mvc,exp_over_mvc
industrial-plants,plant01,diag,0,astar,2,1.414214,1.414210,0.065,ok,0.0,
industrial-plants,plant01,diag,0,rastar,2,1.414214,1.414210,0.058,ok,0.0,
industrial-plants,plant01,diag,0,mm,1,1.414214,1.414210,0.053,ok,0.0,
industrial-plants,plant01,diag,0,bia,1,1.414214,1.414210,0.049,ok,0.0,
industrial-plants,plant01,diag,0,bae,1,1.414214,1.414210,0.051,ok,0.0,
industrial-plants,plant01,diag,0,nbs,1,1.414214,1.414210,0.024,ok,0.0,
industrial-plants,plant01,diag,0,gbfs,2,2.828427,1.414210,0.064,subopt,0.0,
industrial-plants,plant01,diag,1,astar,2,1.414214,1.414210,0.059,ok,0.0,
industrial-plants,plant01,diag,1,rastar,2,1.414214,1.414210,0.060,ok,0.0,
industrial-plants,plant01,diag,1,mm,1,1.414214,1.414210,0.046,ok,0.0,
industrial-plants,plant01,diag,1,bia,1,1.414214,1.414210,0.047,ok,0.0,
industrial-plants,plant01,diag,1,bae,1,1.414214,1.414210,0.045,ok,0.0,
industrial-plants,plant01,diag,1,nbs,1,1.414214,1.414210,0.015,ok,0.0,
industrial-plants,plant01,diag,1,gbfs,2,1.414214,1.414210,0.060,subopt,0.0,
industrial-plants,plant01,diag,2,astar,3,2.000000,2.000000,0.061,ok,0.0,
industrial-plants,plant01,diag,2,rastar,3,2.000000,2.000000,0.062,ok,0.0,
industrial-plants,plant01,diag,2,mm,2,2.000000,2.000000,0.066,ok,0.0,
industrial-plants,plant01,diag,2,bia,2,2.000000,2.000000,0.067,ok,0.0,
industrial-plants,plant01,diag,2,bae,2,2.000000,2.000000,0.058,ok,0.0,
industrial-plants,plant01,diag,2,nbs,2,2.000000,2.000000,0.031,ok,0.0,
industrial-plants,plant01,diag,2,gbfs,2,3.464102,2.000000,0.062,subopt,0.0,
industrial-plants,plant01,diag,3,astar,3,2.414214,2.414210,0.062,ok,0.0,
industrial-plants,plant01,diag,3,rastar,3,2.414214,2.414210,0.061,ok,0.0,
industrial-plants,plant01,diag,3,mm,2,2.414214,2.414210,0.073,ok,0.0,
industrial-plants,plant01,diag,3,bia,2,2.414214,2.414210,0.057,ok,0.0,
industrial-plants,plant01,diag,3,bae,2,2.414214,2.414210,0.060,ok,0.0,
industrial-plants,plant01,diag,3,nbs,2,2.414214,2.414210,0.032,ok,0.0,
industrial-plants,plant01,diag,3,gbfs,2,2.414214,2.414210,0.064,subopt,0.0,
industrial-plants,plant01,diag,4,astar,3,2.414214,2.414210,0.063,ok,0.0,
industrial-plants,plant01,diag,4,rastar,3,2.414214,2.414210,0.066,ok,0.0,
industrial-plants,plant01,diag,4,mm,2,2.414214,2.414210,0.066,ok,0.0,
industrial-plants,plant01,diag,4,bia,2,2.414214,2.414210,0.055,ok,0.0,
industrial-plants,plant01,diag,4,bae,2,2.414214,2.414210,0.057,ok,0.0,
industrial-plants,plant01,diag,4,nbs,2,2.414214,2.414210,0.052,ok,0.0,
industrial-plants,plant01,diag,4,gbfs,2,2.414214,2.414210,0.128,subopt,0.0,
industrial-plants,plant01,diag,5,astar,3,2.000000,2.000000,0.103,ok,0.0,
industrial-plants,plant01,diag,5,rastar,3,2.000000,2.000000,0.104,ok,0.0,
industrial-plants,plant01,diag,5,mm,2,2.000000,2.000000,0.114,ok,0.0,
industrial-plants,plant01,diag,5,bia,2,2.000000,2.000000,0.099,ok,0.0,
industrial-plants,plant01,diag,5,bae,2,2.000000,2.000000,0.098,ok,0.0,
industrial-plants,plant01,diag,5,nbs,2,2.000000,2.000000,0.056,ok,0.0,
industrial-plants,plant01,diag,5,gbfs,2,3.464102,2.000000,0.110,subopt,0.0,
industrial-plants,plant01,diag,6,astar,3,2.828427,2.828430,0.104,ok,0.0,
industrial-plants,plant01,diag,6,rastar,3,2.828427,2.828430,0.107,ok,0.0,
industrial-plants,plant01,diag,6,mm,2,2.828427,2.828430,0.118,ok,0.0,
industrial-plants,plant01,diag,6,bia,2,2.828427,2.828430,0.092,ok,0.0,
industrial-plants,plant01,diag,6,bae,2,2.828427,2.828430,0.115,ok,0.0,
industrial-plants,plant01,diag,6,nbs,2,2.828427,2.828430,0.054,ok,0.0,
industrial-plants,plant01,diag,6,gbfs,2,2.828427,2.828430,0.109,subopt,0.0,
industrial-plants,plant01,diag,7,astar,3,2.000000,2.000000,0.104,ok,0.0,
industrial-plants,plant01,diag,7,rastar,3,2.000000,2.000000,0.101,ok,0.0,
industrial-plants,plant01,diag,7,mm,2,2.000000,2.000000,0.132,ok,0.0,
industrial-plants,plant01,diag,7,bia,2,2.000000,2.000000,0.091,ok,0.0,
industrial-plants,plant01,diag,7,bae,2,2.000000,2.000000,0.094,ok,0.0,
industrial-plants,plant01,diag,7,nbs,2,2.000000,2.000000,0.054,ok,0.0,
industrial-plants,plant01,diag,7,gbfs,2,2.828427,2.000000,0.106,subopt,0.0,
industrial-plants,plant01,diag,8,astar,3,2.414214,2.414210,0.108,ok,0.0,
industrial-plants,plant01,diag,8,rastar,3,2.414214,2.414210,0.105,ok,0.0,
industrial-plants,plant01,diag,8,mm,2,2.414214,2.414210,0.117,ok,0.0,
industrial-plants,plant01,diag,8,bia,2,2.414214,2.414210,0.093,ok,0.0,
industrial-plants,plant01,diag,8,bae,2,2.414214,2.414210,0.097,ok,0.0,
industrial-plants,plant01,diag,8,nbs,2,2.414214,2.414210,0.056,ok,0.0,
industrial-plants,plant01,diag,8,gbfs,2,2.414214,2.414210,0.112,subopt,0.0,
industrial-plants,plant01,diag,9,astar,3,2.414214,2.414210,0.104,ok,0.0,
industrial-plants,plant01,diag,9,rastar,3,2.414214,2.414210,0.108,ok,0.0,
industrial-plants,plant01,diag,9,mm,2,2.414214,2.414210,0.132,ok,0.0,
industrial-plants,plant01,diag,9,bia,2,2.414214,2.414210,0.093,ok,0.0,
industrial-plants,plant01,diag,9,bae,2,2.414214,2.414210,0.095,ok,0.0,
industrial-plants,plant01,diag,9,nbs,2,2.414214,2.414210,0.055,ok,0.0,
industrial-plants,plant01,diag,9,gbfs,2,3.146264,2.414210,0.104,subopt,0.0,
industrial-plants,plant01,diag,10,astar,801,87.157000,87.157000,4.394,ok,743.0,1.0780619111709286
industrial-plants,plant01,diag,10,rastar,6739,87.157000,87.157000,34.191,ok,743.0,9.069986541049799
industrial-plants,plant01,diag,10,mm,5056,87.157000,87.157000,66.588,ok,743.0,6.804845222072679
industrial-plants,plant01,diag,10,bia,1597,87.157000,87.157000,9.711,ok,743.0,2.149394347240915
industrial-plants,plant01,diag,10,bae,3663,87.157000,87.157000,20.798,ok,743.0,4.930013458950202
industrial-plants,plant01,diag,10,nbs,4944,87.157000,87.157000,23.063,ok,743.0,6.654104979811574
industrial-plants,plant01,diag,10,gbfs,106,89.353152,87.157000,1.720,subopt,743.0,0.1426648721399731
industrial-plants,plant01,diag,11,astar,801,65.069610,65.069600,3.900,ok,762.0,1.0511811023622046
industrial-plants,plant01,diag,11,rastar,14234,65.069610,65.069600,75.936,ok,762.0,18.67979002624672
industrial-plants,plant01,diag,11,mm,10573,65.069610,65.069600,95.309,ok,762.0,13.875328083989501
industrial-plants,plant01,diag,11,bia,1595,65.069610,65.069600,8.965,ok,762.0,2.093175853018373
industrial-plants,plant01,diag,11,bae,11893,65.069610,65.069600,89.203,ok,762.0,15.60761154855643
industrial-plants,plant01,diag,11,nbs,5054,65.069610,65.069600,23.678,ok,762.0,6.63254593175853
industrial-plants,plant01,diag,11,gbfs,100,68.768824,65.069600,1.261,subopt,762.0,0.13123359580052493
industrial-plants,plant01,diag,12,astar,801,99.714755,99.714800,4.226,ok,738.0,1.0853658536585367
industrial-plants,plant01,diag,12,rastar,44944,99.714755,99.714800,216.117,ok,738.0,60.89972899728997
industrial-plants,plant01,diag,12,mm,30381,99.714755,99.714800,347.746,ok,738.0,41.166666666666664
industrial-plants,plant01,diag,12,bia,1597,99.714755,99.714800,4.745,ok,738.0,2.1639566395663956
industrial-plants,plant01,diag,12,bae,36324,99.714755,99.714800,159.917,ok,738.0,49.21951219512195
industrial-plants,plant01,diag,12,nbs,11226,99.714755,99.714800,29.363,ok,738.0,15.211382113821138
industrial-plants,plant01,diag,12,gbfs,146,101.660738,99.714800,1.069,subopt,738.0,0.1978319783197832
industrial-plants,plant01,diag,13,astar,801,101.575342,101.575000,2.209,ok,726.0,1.103305785123967
industrial-plants,plant01,diag,13,rastar,39927,101.575342,101.575000,113.099,ok,726.0,54.99586776859504
industrial-plants,plant01,diag,13,mm,28653,101.575342,101.575000,255.349,ok,726.0,39.46694214876033
industrial-plants,plant01,diag,13,bia,1597,101.575342,101.575000,4.801,ok,726.0,2.1997245179063363
industrial-plants,plant01,diag,13,bae,22543,101.575342,101.575000,70.629,ok,726.0,31.050964187327825
industrial-plants,plant01,diag,13,nbs,12550,101.575342,101.575000,31.206,ok,726.0,17.286501377410467
industrial-plants,plant01,diag,13,gbfs,180,105.137278,101.575000,0.932,subopt,726.0,0.24793388429752067
industrial-plants,plant01,diag,14,astar,801,104.403040,104.403000,2.041,ok,742.0,1.0795148247978437
industrial-plants,plant01,diag,14,rastar,15094,104.403040,104.403000,37.491,ok,742.0,20.342318059299192
industrial-plants,plant01,diag,14,mm,9853,104.403040,104.403000,69.032,ok,742.0,13.278975741239892
industrial-plants,plant01,diag,14,bia,1597,104.403040,104.403000,4.539,ok,742.0,2.152291105121294
industrial-plants,plant01,diag,14,bae,8715,104.403040,104.403000,25.543,ok,742.0,11.745283018867925
