family,config,alg,n,pct_ok,pct_subopt,pct_timeout,pct_fail,mean_expanded,mean_exp_over_mvc,median_exp_over_mvc,mean_time_ms,median_peak_mb
descent,diag,astar,7250,100.0,0.0,0.0,0.0,339396.1,1.08,1.0,807.284,88.3
descent,diag,bae,7250,99.8,0.0,0.2,0.0,849101.6,3.08,2.34,4196.408,133.3
descent,diag,bia,7250,100.0,0.0,0.0,0.0,631872.7,1.97,1.99,2528.449,111.1
descent,diag,gbfs,7250,0.0,100.0,0.0,0.0,,,,,
descent,diag,mm,7251,31.3,0.0,68.7,0.0,684392.6,5.2,3.26,8188.382,252.4
descent,diag,nbs,7250,100.0,0.0,0.0,0.0,678738.7,2.55,2.0,2275.658,108.0
descent,diag,rastar,7250,99.9,0.0,0.1,0.0,1066433.6,4.36,2.26,3298.021,134.8
descent,nodiag,astar,7250,100.0,0.0,0.0,0.0,255657.3,4.75,1.01,284.366,77.7
descent,nodiag,bae,7250,100.0,0.0,0.0,0.0,686054.8,5.51,2.75,1263.555,107.3
descent,nodiag,bia,7250,100.0,0.0,0.0,0.0,452896.8,3.28,2.0,747.422,89.9
descent,nodiag,gbfs,7250,0.0,100.0,0.0,0.0,,,,,
descent,nodiag,mm,7250,100.0,0.0,0.0,0.0,922367.2,26.63,3.11,1478.697,121.0
descent,nodiag,nbs,7250,100.0,0.0,0.0,0.0,649350.0,22.52,2.21,973.079,102.8
descent,nodiag,rastar,7250,100.0,0.0,0.0,0.0,813391.9,32.29,2.48,1044.874,113.1
industrial-plants,diag,astar,1000,100.0,0.0,0.0,0.0,94349.2,30.91,1.0,189.102,23.5
industrial-plants,diag,bae,1000,100.0,0.0,0.0,0.0,477900.2,34.86,3.78,1803.991,41.9
industrial-plants,diag,bia,1000,100.0,0.0,0.0,0.0,177746.9,49.21,2.0,507.688,29.4
industrial-plants,diag,gbfs,1000,0.0,100.0,0.0,0.0,,,,,
industrial-plants,diag,mm,1000,72.8,0.0,27.2,0.0,484325.1,54.22,5.12,6975.047,69.8
industrial-plants,diag,nbs,1000,100.0,0.0,0.0,0.0,300452.8,143.64,2.21,745.924,36.8
industrial-plants,diag,rastar,1000,100.0,0.0,0.0,0.0,704354.2,192.65,4.64,1749.832,49.2
industrial-plants,nodiag,astar,1000,100.0,0.0,0.0,0.0,32236.0,1.53,1.02,34.486,10.9
industrial-plants,nodiag,bae,1000,100.0,0.0,0.0,0.0,102432.0,7.07,3.5,174.371,10.9
industrial-plants,nodiag,bia,1000,100.0,0.0,0.0,0.0,46398.6,2.67,2.03,67.507,10.9
industrial-plants,nodiag,gbfs,1000,0.0,100.0,0.0,0.0,,,,,
industrial-plants,nodiag,mm,1000,100.0,0.0,0.0,0.0,414378.0,21.57,3.63,624.606,22.0
industrial-plants,nodiag,nbs,1000,99.9,0.0,0.1,0.0,1041562.1,17.94,3.1,1770.347,40.1
industrial-plants,nodiag,rastar,1000,100.0,0.0,0.0,0.0,152270.3,31.63,2.82,176.848,13.5
sandstone,diag,astar,275,100.0,0.0,0.0,0.0,10137.8,1.25,1.0,15.563,9.8
sandstone,diag,bae,275,100.0,0.0,0.0,0.0,26753.1,3.12,2.41,52.54,10.8
sandstone,diag,bia,275,100.0,0.0,0.0,0.0,18989.6,2.21,1.98,32.179,10.8
sandstone,diag,gbfs,275,0.0,100.0,0.0,0.0,,,,,
sandstone,diag,mm,275,85.5,0.0,14.5,0.0,29245.3,4.13,2.75,6617.036,16.8
sandstone,diag,nbs,275,100.0,0.0,0.0,0.0,21496.9,2.66,2.01,32.517,9.8
sandstone,diag,rastar,275,100.0,0.0,0.0,0.0,38726.4,4.65,2.69,63.35,10.8
sandstone,nodiag,astar,275,100.0,0.0,0.0,0.0,10559.5,7.9,1.05,12.186,8.8
sandstone,nodiag,bae,275,100.0,0.0,0.0,0.0,24913.4,9.9,2.63,36.511,8.8
sandstone,nodiag,bia,275,100.0,0.0,0.0,0.0,16965.9,8.04,2.01,21.341,8.8
sandstone,nodiag,gbfs,275,0.0,100.0,0.0,0.0,,,,,
sandstone,nodiag,mm,275,100.0,0.0,0.0,0.0,35682.1,22.0,2.96,53.783,10.8
sandstone,nodiag,nbs,275,100.0,0.0,0.0,0.0,35559.4,25.67,2.38,45.281,10.8
sandstone,nodiag,rastar,275,100.0,0.0,0.0,0.0,33822.9,24.44,2.51,41.891,8.8
