family,map,config,instance,alg,expanded,cost,optimal,time_ms,status,mvc,exp_over_mvc
crossover,plant01,w020,10,astar,356960,87.157000,87.157000,1590.169,ok,233915.0,1.5260244105764915
crossover,plant01,w020,10,rastar,387622,87.157000,87.157000,1831.366,ok,233915.0,1.6571062137956094
crossover,plant01,w020,10,mm,0,0,87.157000,90000.000,timeout,233915.0,0.0
crossover,plant01,w020,10,bia,551723,87.157000,87.157000,4972.973,ok,233915.0,2.3586473719085994
crossover,plant01,w020,10,bae,172530,87.157000,87.157000,1495.153,ok,233915.0,0.7375756150738516
crossover,plant01,w020,10,nbs,227662,87.157000,87.157000,1048.314,ok,233915.0,0.9732680674604023
crossover,plant01,w020,11,astar,188994,65.069610,65.069600,826.881,ok,112233.0,1.6839432252546043
crossover,plant01,w020,11,rastar,304376,65.069610,65.069600,1633.027,ok,112233.0,2.712000926643679
crossover,plant01,w020,11,mm,0,0,65.069600,90000.000,timeout,112233.0,0.0
crossover,plant01,w020,11,bia,290653,65.069610,65.069600,2715.582,ok,112233.0,2.5897285112221895
crossover,plant01,w020,11,bae,86134,65.069610,65.069600,754.410,ok,112233.0,0.7674569868042376
crossover,plant01,w020,11,nbs,108430,65.069610,65.069600,396.816,ok,112233.0,0.9661151354770878
crossover,plant01,w020,12,astar,803524,99.714755,99.714800,5087.794,ok,416106.0,1.9310560289926124
crossover,plant01,w020,12,rastar,701811,99.714755,99.714800,4568.317,ok,416106.0,1.6866159103689926
crossover,plant01,w020,12,mm,0,0,99.714800,90000.000,timeout,416106.0,0.0
crossover,plant01,w020,12,bia,1073548,99.714755,99.714800,11604.088,ok,416106.0,2.5799868302788234
crossover,plant01,w020,12,bae,301105,99.714755,99.714800,2891.902,ok,416106.0,0.7236257107563938
crossover,plant01,w020,12,nbs,403330,99.714755,99.714800,2213.144,ok,416106.0,0.9692962850812052
crossover,plant01,w020,13,astar,987280,101.575342,101.575000,6078.093,ok,439994.0,2.2438487797560875
crossover,plant01,w020,13,rastar,656138,101.575342,101.575000,3544.376,ok,439994.0,1.4912430624053965
crossover,plant01,w020,13,mm,0,0,101.575000,90000.000,timeout,439994.0,0.0
crossover,plant01,w020,13,bia,965278,101.575342,101.575000,10023.712,ok,439994.0,2.1938435524120785
crossover,plant01,w020,13,bae,367789,101.575342,101.575000,4147.204,ok,439994.0,0.8358954894839475
crossover,plant01,w020,13,nbs,444404,101.575342,101.575000,2594.155,ok,439994.0,1.0100228639481448
crossover,plant01,w020,14,astar,689239,104.403040,104.403000,4063.617,ok,432291.0,1.5943866515842338
crossover,plant01,w020,14,rastar,853030,104.403040,104.403000,5093.231,ok,432291.0,1.9732772599938468
crossover,plant01,w020,14,mm,0,0,104.403000,90000.000,timeout,432291.0,0.0
crossover,plant01,w020,14,bia,1064487,104.403040,104.403000,11072.721,ok,432291.0,2.4624315565209547
crossover,plant01,w020,14,bae,335414,104.403040,104.403000,3362.396,ok,432291.0,0.7758986423497135
crossover,plant01,w020,14,nbs,426690,104.403040,104.403000,2410.062,ok,432291.0,0.9870434498983324
crossover,plant01,w020,15,astar,1471836,126.375009,126.375000,9775.976,ok,589804.0,2.4954662904965037
crossover,plant01,w020,15,rastar,841834,126.375009,126.375000,4657.546,ok,589804.0,1.427311445836244
crossover,plant01,w020,15,mm,0,0,126.375000,90000.000,timeout,589804.0,0.0
crossover,plant01,w020,15,bia,1244822,126.375009,126.375000,13242.287,ok,589804.0,2.1105689347647694
crossover,plant01,w020,15,bae,510316,126.375009,126.375000,5295.140,ok,589804.0,0.865229805155611
crossover,plant01,w020,15,nbs,606726,126.375009,126.375000,3509.038,ok,589804.0,1.0286908871421692
crossover,plant01,w030,10,astar,260773,87.157000,87.157000,713.554,ok,233915.0,1.1148194857106213
crossover,plant01,w030,10,rastar,308702,87.157000,87.157000,888.949,ok,233915.0,1.319718701237629
crossover,plant01,w030,10,mm,0,0,87.157000,90000.000,timeout,233915.0,0.0
crossover,plant01,w030,10,bia,401947,87.157000,87.157000,3259.551,ok,233915.0,1.7183464078832054
crossover,plant01,w030,10,bae,140928,87.157000,87.157000,1225.789,ok,233915.0,0.6024752581065772
crossover,plant01,w030,10,nbs,227662,87.157000,87.157000,1204.739,ok,233915.0,0.9732680674604023
crossover,plant01,w030,11,astar,144866,65.069610,65.069600,615.457,ok,112169.0,1.2914976508661038
crossover,plant01,w030,11,rastar,211975,65.069610,65.069600,1206.498,ok,112169.0,1.8897823819415347
crossover,plant01,w030,11,mm,115782,65.069610,65.069600,89328.757,ok,112169.0,1.0322103254910002
crossover,plant01,w030,11,bia,216809,65.069610,65.069600,1632.157,ok,112169.0,1.9328780679153776
crossover,plant01,w030,11,bae,73595,65.069610,65.069600,437.998,ok,112169.0,0.6561081938860113
crossover,plant01,w030,11,nbs,108430,65.069610,65.069600,419.691,ok,112169.0,0.9666663694960284
crossover,plant01,w030,12,astar,606297,99.714755,99.714800,3179.596,ok,416106.0,1.4570734380181973
crossover,plant01,w030,12,rastar,582725,99.714755,99.714800,3116.147,ok,416106.0,1.4004244110875594
crossover,plant01,w030,12,mm,0,0,99.714800,90000.000,timeout,416106.0,0.0
crossover,plant01,w030,12,bia,881787,99.714755,99.714800,9081.449,ok,416106.0,2.1191403152081443
crossover,plant01,w030,12,bae,251138,99.714755,99.714800,2381.275,ok,416106.0,0.6035433279020249
crossover,plant01,w030,12,nbs,403330,99.714755,99.714800,2352.197,ok,416106.0,0.9692962850812052
crossover,plant01,w030,13,astar,782859,101.575342,101.575000,4732.245,ok,439994.0,1.779249262489943
crossover,plant01,w030,13,rastar,544805,101.575342,101.575000,3072.783,ok,439994.0,1.2382100665009068
crossover,plant01,w030,13,mm,0,0,101.575000,90000.000,timeout,439994.0,0.0
crossover,plant01,w030,13,bia,808718,101.575342,101.575000,7101.416,ok,439994.0,1.8380205184616154
crossover,plant01,w030,13,bae,320708,101.575342,101.575000,3225.489,ok,439994.0,0.7288917576148766
crossover,plant01,w030,13,nbs,444404,101.575342,101.575000,2499.736,ok,439994.0,1.0100228639481448
crossover,plant01,w030,14,astar,525611,104.403040,104.403000,3035.258,ok,432154.0,1.2162585559777301
crossover,plant01,w030,14,rastar,683444,104.403040,104.403000,4083.590,ok,432154.0,1.581482527062112
crossover,plant01,w030,14,mm,0,0,104.403000,90000.000,timeout,432154.0,0.0
crossover,plant01,w030,14,bia,815651,104.403040,104.403000,7810.749,ok,432154.0,1.8874081924499138
crossover,plant01,w030,14,bae,281361,104.403040,104.403000,2152.949,ok,432154.0,0.6510665179542477
crossover,plant01,w030,14,nbs,426690,104.403040,104.403000,2068.422,ok,432154.0,0.9873563590756999
crossover,plant01,w030,15,astar,1201366,126.375009,126.375000,6789.969,ok,589713.0,2.0372045384788873
crossover,plant01,w030,15,rastar,696947,126.375009,126.375000,3272.128,ok,589713.0,1.1818409972308563
crossover,plant01,w030,15,mm,0,0,126.375000,90000.000,timeout,589713.0,0.0
crossover,plant01,w030,15,bia,1024166,126.375009,126.375000,10588.630,ok,589713.0,1.736719387227346
crossover,plant01,w030,15,bae,455161,126.375009,126.375000,4635.671,ok,589713.0,0.7718347738645748
crossover,plant01,w030,15,nbs,606726,126.375009,126.375000,3404.164,ok,589713.0,1.0288496268523841
crossover,plant01,w040,10,astar,187694,87.157000,87.157000,661.877,ok,185172.0,1.0136197697276046
crossover,plant01,w040,10,rastar,244562,87.157000,87.157000,918.721,ok,185172.0,1.3207288358931155
crossover,plant01,w040,10,mm,0,0,87.157000,90000.000,timeout,185172.0,0.0
crossover,plant01,w040,10,bia,286395,87.157000,87.157000,2118.750,ok,185172.0,1.5466431209902145
crossover,plant01,w040,10,bae,110784,87.157000,87.157000,771.853,ok,185172.0,0.5982761972652453
crossover,plant01,w040,10,nbs,211124,87.157000,87.157000,1131.429,ok,185172.0,1.140150778735446
crossover,plant01,w040,11,astar,111248,65.069610,65.069600,374.076,ok,104386.0,1.0657367846262908
