instance,cstar,fwd_cand,bwd_cand,mvc
0,571.656894,3511914,6438976,2215947
1,670.628915,6162391,7671739,4803596
2,749.507521,6945946,7263906,3409029
3,464.206398,4040768,3979126,2535161
4,660.274841,7210549,7368458,4555929
5,581.707266,7284921,4526182,3193807
6,682.690996,6525406,7491426,3978596
7,400.388654,1861787,1763990,1403601
8,315.306903,991240,1651612,967310
9,539.221069,3940963,5532131,3428745
10,623.818997,6006507,7029124,4724756
11,340.271395,1801294,1881547,1796409
12,333.751767,1551993,1824854,1418579
13,529.214217,3548358,5098524,3019620
14,562.459284,5073538,6286800,3746905
15,667.422318,7556316,7770561,5172088
16,678.010775,7763888,7537918,5216029
17,477.303258,5310142,4876892,4054797
18,522.134840,5447036,5318705,4072722
19,624.947913,7538936,7228913,5527373
20,532.355817,6071788,6419681,4016236
21,659.528358,7506033,6696237,4146819
22,291.978330,1239439,1111597,891655
23,714.570524,8033531,7437833,5144099
24,471.733794,3778269,5177470,3034974
25,642.387435,6556925,7275717,4096507
26,615.181864,5883826,7067521,3760542
27,555.505288,6453768,6813190,5140851
28,643.745013,5433823,8019605,4208721
29,571.642566,7093707,6063505,4106056
30,480.804914,3953474,3578095,2987114
31,571.644701,7409243,6162936,5406868
32,680.231507,7452713,7873702,5278027
33,655.032580,6410310,7751657,4090503
34,397.598219,2402860,3157136,1827143
35,616.569259,7773274,6072938,4469687
36,690.347903,6844577,7510176,3200191
37,690.611187,7067342,7695345,3976785
38,420.547357,1877891,2751596,1803736
39,486.946268,3713240,6812504,3595870
40,393.637662,2502593,2729087,1878782
41,328.113421,2529846,2362067,1788222
42,710.474877,7962398,7859396,5010090
43,631.570769,6769084,6491890,3758442
44,667.753078,7589377,7683592,4401230
45,615.546138,6914103,6634092,5306572
46,543.024812,7441855,4784019,3488621
47,681.711343,6778623,8334167,4557177
48,576.352172,4798897,5566854,3320816
49,446.945977,4439995,4278115,3647409
50,592.993672,7659521,5936261,3596822
51,475.081068,3733128,6155459,2952867
52,9.342417,361,322,315
53,576.879329,3214779,6247687,2540815
54,635.892438,7547224,7237679,5381255
55,400.276737,3676107,3387720,2916503
56,684.019814,7400315,8012084,5456062
57,706.965797,7147964,8233688,4577732
58,357.881032,1039689,2756511,973822
59,751.647179,7912853,8028818,4772144
60,481.498005,3223079,4079705,2873972
61,409.995433,2345963,3734026,2345923
62,611.974731,4857120,7346121,4421994
63,658.903664,6321705,7346051,4847849
64,338.318560,1305883,1389830,1086442
65,558.495818,5351878,6216052,4356524
66,661.820455,6200203,6769933,4458841
67,554.843576,6998991,5338308,4756050
68,609.164813,7255830,5422968,4710929
69,640.065521,7508039,7309770,5326652
70,646.866698,7109774,7377046,4561548
71,333.531087,1345201,1794281,1152056
72,571.473664,6043393,6768058,4971508
73,662.805345,6752219,6969671,2847907
74,802.275809,7333619,8387908,3685069
75,484.965506,4952362,5074610,3102325
76,643.849699,6080888,6561735,3260439
77,133.092732,134006,288910,83507
78,573.783385,7057157,6610043,5586404
79,602.285769,6321814,7233867,4102988
