tag,instance,alg,expanded,generated,cost,optimal,time_ms,status,peak_mb
Parker|w060,0,astar,2617298,55541700,571.656894,571.657000,7501.026,ok,352.3
Parker|w060,0,mm,0,0,0,571.657000,300000.000,timeout,638.3
Parker|w060,0,bae,1174988,24939352,571.656894,571.657000,4913.375,ok,182.8
Parker|w060,0,bia,3992549,83721423,571.656894,571.657000,18534.413,ok,423.2
Parker|w060,0,nbs,2216890,46699717,571.656894,571.657000,6655.480,ok,279.3
Parker|w060,1,astar,4930837,103184308,670.628915,670.629000,16037.871,ok,695.6
Parker|w060,1,mm,0,0,0,670.629000,300000.000,timeout,1313.6
Parker|w060,1,bae,3603950,76540767,670.628915,670.629000,19559.250,ok,536.8
Parker|w060,1,bia,6778815,142021709,670.628915,670.629000,34255.728,ok,727.7
Parker|w060,1,nbs,4965012,105145096,670.628915,670.629000,18064.234,ok,545.8
Parker|w060,2,astar,5138801,107303267,749.507521,749.508000,18034.889,ok,695.6
Parker|w060,2,mm,0,0,0,749.508000,300000.000,timeout,822.0
Parker|w060,2,bae,2104011,44007575,749.507521,749.508000,8898.962,ok,353.7
Parker|w060,2,bia,5879727,122523378,749.507521,749.508000,26982.447,ok,687.5
Parker|w060,2,nbs,3424800,71633450,749.507521,749.508000,9957.930,ok,365.2
Parker|w060,3,astar,2654549,56083255,464.206398,464.206000,8395.855,ok,352.5
Parker|w060,3,mm,0,0,0,464.206000,300000.000,timeout,664.4
Parker|w060,3,bae,1298934,27093882,464.206398,464.206000,4723.923,ok,188.5
Parker|w060,3,bia,3720547,77987213,464.206398,464.206000,17137.930,ok,398.9
Parker|w060,3,nbs,2472926,51570138,464.206398,464.206000,8232.375,ok,283.1
Parker|w060,4,astar,5972747,125683335,660.274841,660.275000,21628.220,ok,738.5
Parker|w060,4,mm,0,0,0,660.275000,300000.000,timeout,1276.2
Parker|w060,4,bae,2925370,61106750,660.274841,660.275000,14457.049,ok,450.0
Parker|w060,4,bia,7696050,160591672,660.274841,660.275000,42676.560,ok,810.3
Parker|w060,4,nbs,4548324,95231072,660.274841,660.275000,16404.806,ok,543.4
Parker|w060,5,astar,5170439,109024298,581.707266,581.707000,20247.730,ok,695.9
Parker|w060,5,mm,0,0,0,581.707000,300000.000,timeout,942.5
Parker|w060,5,bae,2194453,46935950,581.707266,581.707000,10836.982,ok,355.3
Parker|w060,5,bia,4713612,98966525,581.707266,581.707000,22480.665,ok,537.4
Parker|w060,5,nbs,3299428,69561939,581.707266,581.707000,12156.573,ok,368.5
Parker|w060,6,astar,4922325,103366810,682.690996,682.691000,16415.923,ok,695.6
Parker|w060,6,mm,0,0,0,682.691000,300000.000,timeout,978.8
Parker|w060,6,bae,2572934,54159115,682.690996,682.691000,12854.786,ok,368.6
Parker|w060,6,bia,6498839,135831823,682.690996,682.691000,33764.596,ok,714.1
Parker|w060,6,nbs,4097362,86030436,682.690996,682.691000,14374.009,ok,425.2
Parker|w060,7,astar,1168527,24873453,400.388654,400.389000,2533.548,ok,181.0
Parker|w060,7,mm,0,0,0,400.389000,300000.000,timeout,370.3
Parker|w060,7,bae,788270,16907505,400.388654,400.389000,3124.063,ok,132.6
Parker|w060,7,bia,1743416,36817427,400.388654,400.389000,6080.460,ok,194.3
Parker|w060,7,nbs,1383034,29514202,400.388654,400.389000,3718.915,ok,153.1
Parker|w060,8,astar,735531,15622120,315.306903,315.307000,1358.518,ok,98.9
Parker|w060,8,mm,0,0,0,315.307000,300000.000,timeout,247.5
Parker|w060,8,bae,555454,11670630,315.306903,315.307000,1662.443,ok,97.2
Parker|w060,8,bia,1107455,23353071,315.306903,315.307000,2887.755,ok,142.5
Parker|w060,8,nbs,957288,20055205,315.306903,315.307000,2259.205,ok,115.2
Parker|w060,9,astar,2816040,58874687,539.221069,539.221000,7898.762,ok,352.4
Parker|w060,9,mm,0,0,0,539.221000,300000.000,timeout,865.7
Parker|w060,9,bae,2087180,44410146,539.221069,539.221000,10020.194,ok,355.1
Parker|w060,9,bia,4492665,94088897,539.221069,539.221000,21014.527,ok,536.2
Parker|w060,9,nbs,3356838,70743721,539.221069,539.221000,11669.466,ok,396.8
Parker|w060,10,astar,4358757,90971753,623.818997,623.819000,12152.630,ok,695.7
Parker|w060,10,mm,0,0,0,623.819000,300000.000,timeout,1314.2
Parker|w060,10,bae,3294855,69906449,623.818997,623.819000,17186.616,ok,513.4
Parker|w060,10,bia,6560675,137594788,623.818997,623.819000,31879.419,ok,716.0
Parker|w060,10,nbs,4846462,102558869,623.818997,623.819000,16980.595,ok,550.2
Parker|w060,11,astar,1064826,22399325,340.271395,340.271000,2027.229,ok,180.9
Parker|w060,11,mm,0,0,0,340.271000,300000.000,timeout,414.0
Parker|w060,11,bae,986271,21492683,340.271395,340.271000,3629.836,ok,150.6
Parker|w060,11,bia,1718825,36419111,340.271395,340.271000,5503.283,ok,191.9
Parker|w060,11,nbs,1699284,36067776,340.271395,340.271000,4764.321,ok,200.4
Parker|w060,12,astar,1112889,23871875,333.751767,333.752000,2132.120,ok,181.0
Parker|w060,12,mm,0,0,0,333.752000,300000.000,timeout,365.5
Parker|w060,12,bae,861363,18344713,333.751767,333.752000,3521.404,ok,136.7
Parker|w060,12,bia,1625265,34511370,333.751767,333.752000,5636.036,ok,183.0
Parker|w060,12,nbs,1375090,29197739,333.751767,333.752000,3754.767,ok,153.4
Parker|w060,13,astar,2253808,46643664,529.214217,529.214000,4684.715,ok,352.4
Parker|w060,13,mm,0,0,0,529.214000,300000.000,timeout,835.4
Parker|w060,13,bae,2008862,42310740,529.214217,529.214000,9356.820,ok,298.1
Parker|w060,13,bia,3504503,73223812,529.214217,529.214000,14311.818,ok,375.5
Parker|w060,13,nbs,2859354,59779678,529.214217,529.214000,8736.958,ok,325.4
Parker|w060,14,astar,3937174,83008436,562.459284,562.459000,17121.256,ok,446.6
Parker|w060,14,mm,0,0,0,562.459000,300000.000,timeout,991.5
Parker|w060,14,bae,2457866,52492652,562.459284,562.459000,14299.757,ok,352.8
Parker|w060,14,bia,5065263,106141758,562.459284,562.459000,30481.100,ok,536.9
Parker|w060,14,nbs,3839240,80831434,562.459284,562.459000,15993.383,ok,418.6
Parker|w060,15,astar,6132491,128663149,667.422318,667.422000,31947.045,ok,737.9
Parker|w060,15,mm,0,0,0,667.422000,300000.000,timeout,1420.6
Parker|w060,15,bae,3765521,79785679,667.422318,667.422000,19943.055,ok,559.1
Parker|w060,15,bia,7555161,157914129,667.422318,667.422000,37912.208,ok,794.6
Parker|w060,15,nbs,5251806,110307202,667.422318,667.422000,17315.813,ok,548.8
Parker|w060,16,astar,6292472,131792776,678.010775,678.011000,24489.807,ok,738.5
Parker|w060,16,mm,0,0,0,678.011000,300000.000,timeout,1380.4
Parker|w060,16,bae,3758758,79757777,678.010775,678.011000,23404.868,ok,555.3
Parker|w060,16,bia,7747475,161829947,678.010775,678.011000,56501.604,ok,811.8
Parker|w060,16,nbs,5330396,112385587,678.010775,678.011000,25105.887,ok,548.7
Parker|w060,17,astar,3448743,73058703,477.303258,477.303000,13893.846,ok,399.8
Parker|w060,17,mm,0,0,0,477.303000,300000.000,timeout,1038.3
Parker|w060,17,bae,2506466,54140570,477.303258,477.303000,11989.233,ok,357.5
Parker|w060,17,bia,5206573,109961825,477.303258,477.303000,30124.886,ok,532.4
Parker|w060,17,nbs,4043114,86100707,477.303258,477.303000,17973.207,ok,445.0
Parker|w060,18,astar,3937976,82402182,522.134840,522.135000,13804.763,ok,447.5
Parker|w060,18,mm,0,0,0,522.135000,300000.000,timeout,1114.2
Parker|w060,18,bae,2501758,53254761,522.134840,522.135000,11423.220,ok,359.1
Parker|w060,18,bia,5582956,117026949,522.134840,522.135000,24345.932,ok,571.7
Parker|w060,18,nbs,4009472,84248312,522.134840,522.135000,13699.484,ok,444.7
Parker|w060,19,astar,6560180,137684452,624.947913,624.948000,21113.091,ok,756.2
Parker|w060,19,mm,0,0,0,624.948000,300000.000,timeout,1462.3
Parker|w060,19,bae,4069745,86653328,624.947913,624.948000,24710.152,ok,591.3
Parker|w060,19,bia,7740788,161817399,624.947913,624.948000,52440.233,ok,811.3
Parker|w060,19,nbs,5590600,117898711,624.947913,624.948000,19676.097,ok,578.5
Parker|w060,20,astar,4983796,104453078,532.355817,532.356000,19464.554,ok,693.4
Parker|w060,20,mm,0,0,0,532.356000,300000.000,timeout,953.0
Parker|w060,20,bae,2912564,62654388,532.355817,532.356000,16061.420,ok,447.5
Parker|w060,20,bia,7046033,147616850,532.355817,532.356000,37963.078,ok,750.0
Parker|w060,20,nbs,4109396,87570456,532.355817,532.356000,14668.386,ok,419.6
Parker|w060,21,astar,5615316,117745866,659.528358,659.528000,20848.976,ok,693.0
Parker|w060,21,mm,0,0,0,659.528000,300000.000,timeout,1077.9
Parker|w060,21,bae,2575143,53781696,659.528358,659.528000,10795.655,ok,368.9
Parker|w060,21,bia,7296584,152511799,659.528358,659.528000,36450.299,ok,774.3
Parker|w060,21,nbs,4154830,86994558,659.528358,659.528000,13485.198,ok,544.8
Parker|w060,22,astar,784204,16963222,291.978330,291.978000,1448.167,ok,101.8
Parker|w060,22,mm,0,0,0,291.978000,300000.000,timeout,261.1
Parker|w060,22,bae,510102,11064538,291.978330,291.978000,1522.267,ok,94.2
Parker|w060,22,bia,1147694,24446006,291.978330,291.978000,3140.924,ok,142.4
Parker|w060,22,nbs,868540,18574533,291.978330,291.978000,2281.556,ok,107.0
Parker|w060,23,astar,7004950,147079538,714.570524,714.571000,27240.069,ok,797.2
Parker|w060,23,mm,0,0,0,714.571000,300000.000,timeout,1418.0
Parker|w060,23,bae,3605478,76985311,714.570524,714.571000,18452.193,ok,538.3
Parker|w060,23,bia,7885154,164661077,714.570524,714.571000,43078.727,ok,824.8
Parker|w060,23,nbs,5141614,108488761,714.570524,714.571000,19026.608,ok,549.9
Parker|w060,24,astar,2688430,56060103,471.733794,471.734000,7610.684,ok,351.2
Parker|w060,24,mm,0,0,0,471.734000,300000.000,timeout,920.7
Parker|w060,24,bae,1737965,36719330,471.733794,471.734000,8046.673,ok,267.4
Parker|w060,24,bia,3863125,81278968,471.733794,471.734000,19701.033,ok,414.5
Parker|w060,24,nbs,3001364,62966021,471.733794,471.734000,11717.665,ok,355.9
Parker|w060,25,astar,4608623,96753027,642.387435,642.387000,17254.011,ok,694.6
Parker|w060,25,mm,0,0,0,642.387000,300000.000,timeout,1058.1
Parker|w060,25,bae,2564077,54198625,642.387435,642.387000,12030.370,ok,368.2
Parker|w060,25,bia,6492201,135923062,642.387435,642.387000,34560.670,ok,714.5
Parker|w060,25,nbs,4066614,84664896,642.387435,642.387000,14249.131,ok,443.8
Parker|w060,26,astar,4130357,86355296,615.181864,615.182000,13923.004,ok,467.7
Parker|w060,26,mm,0,0,0,615.182000,300000.000,timeout,973.1
Parker|w060,26,bae,2415436,50878428,615.181864,615.182000,11251.444,ok,353.5
Parker|w060,26,bia,5541515,115422948,615.181864,615.182000,27343.921,ok,564.9
Parker|w060,26,nbs,3803360,79895903,615.181864,615.182000,13159.288,ok,401.5
Parker|w060,27,astar,5271389,110527273,555.505288,555.505000,19244.774,ok,694.5
Parker|w060,27,mm,0,0,0,555.505000,300000.000,timeout,1386.7
Parker|w060,27,bae,3570336,76269482,555.505288,555.505000,20286.229,ok,533.6
Parker|w060,27,bia,7388233,154534908,555.505288,555.505000,39741.839,ok,779.7
Parker|w060,27,nbs,5250892,110991286,555.505288,555.505000,22199.094,ok,557.1
Parker|w060,28,astar,4432077,92754524,643.745013,643.745000,12217.419,ok,694.4
Parker|w060,28,mm,0,0,0,643.745000,300000.000,timeout,1250.3
Parker|w060,28,bae,3099249,65974931,643.745013,643.745000,16264.307,ok,455.3
Parker|w060,28,bia,5985617,125731737,643.745013,643.745000,29597.579,ok,689.9
Parker|w060,28,nbs,4289538,90821698,643.745013,643.745000,14114.062,ok,544.4
Parker|w060,29,astar,5683782,119625629,571.642566,571.643000,23018.008,ok,694.6
Parker|w060,29,mm,0,0,0,571.643000,300000.000,timeout,1048.7
Parker|w060,29,bae,2473243,51850172,571.642566,571.643000,11908.561,ok,354.2
Parker|w060,29,bia,6391820,133939924,571.642566,571.643000,34435.292,ok,710.7
Parker|w060,29,nbs,4092206,85336184,571.642566,571.643000,15362.967,ok,441.9
Parker|w060,30,astar,2709814,56666366,480.804914,480.805000,7484.692,ok,351.3
Parker|w060,30,mm,0,0,0,480.805000,300000.000,timeout,775.1
Parker|w060,30,bae,1746869,37372560,480.804914,480.805000,9088.173,ok,267.7
Parker|w060,30,bia,3896009,81694542,480.804914,480.805000,18646.766,ok,413.5
Parker|w060,30,nbs,2933544,61862856,480.804914,480.805000,11164.675,ok,355.2
Parker|w060,31,astar,6075525,127747551,571.644701,571.645000,24218.127,ok,737.4
Parker|w060,31,mm,0,0,0,571.645000,300000.000,timeout,1489.4
Parker|w060,31,bae,4085610,87006427,571.644701,571.645000,22823.211,ok,593.3
Parker|w060,31,bia,7221980,151139506,571.644701,571.645000,38070.326,ok,767.2
Parker|w060,31,nbs,5384708,113595444,571.644701,571.645000,21953.060,ok,564.8
Parker|w060,32,astar,6031382,126320763,680.231507,680.231000,23163.242,ok,737.3
Parker|w060,32,mm,0,0,0,680.231000,300000.000,timeout,1438.4
Parker|w060,32,bae,3821725,81067323,680.231507,680.231000,20076.738,ok,563.9
Parker|w060,32,bia,7589167,158573194,680.231507,680.231000,43831.444,ok,799.0
Parker|w060,32,nbs,5376632,113235615,680.231507,680.231000,24508.524,ok,554.2
