tag,instance,alg,expanded,generated,cost,optimal,time_ms,status,peak_mb
level20|w040,0,astar,3776788,92198222,1206.369520,1206.370000,6377.040,ok,439.4
level20|w040,0,mm,0,0,0,1206.370000,300000.000,timeout,938.9
level20|w040,0,bae,3511542,85795780,1206.369520,1206.370000,13514.785,ok,534.8
level20|w040,0,bia,3555319,86803847,1206.369520,1206.370000,10463.962,ok,390.2
level20|w040,0,nbs,3736016,91220700,1206.369520,1206.370000,8514.754,ok,422.5
level20|w040,1,astar,1766343,42890536,607.588451,607.588000,3061.465,ok,216.7
level20|w040,1,mm,0,0,0,607.588000,300000.000,timeout,602.6
level20|w040,1,bae,2087895,51236826,607.588451,607.588000,7134.071,ok,360.2
level20|w040,1,bia,2620205,64097936,607.588451,607.588000,6890.310,ok,281.7
level20|w040,1,nbs,2383456,58416761,607.588451,607.588000,4964.485,ok,290.2
level20|w040,2,astar,2253554,55201808,704.784708,704.785000,3744.674,ok,362.6
level20|w040,2,mm,0,0,0,704.785000,300000.000,timeout,489.4
level20|w040,2,bae,2195232,53859130,704.784708,704.785000,8085.925,ok,359.8
level20|w040,2,bia,2086998,51245444,704.784708,704.785000,5505.645,ok,280.7
level20|w040,2,nbs,2252390,55270235,704.784708,704.785000,4554.026,ok,292.6
level20|w040,3,astar,2842113,68897208,1070.909011,1070.910000,4647.177,ok,362.6
level20|w040,3,mm,0,0,0,1070.910000,300000.000,timeout,880.2
level20|w040,3,bae,3698236,90319345,1070.909011,1070.910000,12300.860,ok,547.8
level20|w040,3,bia,3899592,95157024,1070.909011,1070.910000,10357.528,ok,421.9
level20|w040,3,nbs,3740966,91336030,1070.909011,1070.910000,7851.833,ok,424.4
level20|w040,4,astar,3687541,90002924,1399.723401,1399.720000,5962.317,ok,429.2
level20|w040,4,mm,0,0,0,1399.720000,300000.000,timeout,865.2
level20|w040,4,bae,3699852,90356813,1399.723401,1399.720000,11555.652,ok,555.2
level20|w040,4,bia,3913322,95499953,1399.723401,1399.720000,9724.574,ok,423.9
level20|w040,4,nbs,3741060,91338276,1399.723401,1399.720000,7399.286,ok,419.3
level20|w040,5,astar,3510693,85749271,1410.641353,1410.640000,5655.949,ok,414.5
level20|w040,5,mm,0,0,0,1410.640000,300000.000,timeout,870.0
level20|w040,5,bae,3683033,89949806,1410.641353,1410.640000,11058.165,ok,547.9
level20|w040,5,bia,3900353,95177733,1410.641353,1410.640000,9171.040,ok,421.9
level20|w040,5,nbs,3741060,91338276,1410.641353,1410.640000,7336.622,ok,421.3
level20|w040,6,astar,2418535,58635294,927.571936,927.572000,3892.091,ok,362.6
level20|w040,6,mm,0,0,0,927.572000,300000.000,timeout,941.1
level20|w040,6,bae,3333088,81367814,927.571936,927.572000,11136.736,ok,485.4
level20|w040,6,bia,3398982,82786700,927.571936,927.572000,8983.050,ok,377.4
level20|w040,6,nbs,3545216,86564924,927.571936,927.572000,7612.414,ok,412.6
level20|w040,7,astar,3784262,92390590,1492.602060,1492.600000,5968.860,ok,440.4
level20|w040,7,mm,0,0,0,1492.600000,300000.000,timeout,876.6
level20|w040,7,bae,3699502,90346756,1492.602060,1492.600000,11112.580,ok,551.1
level20|w040,7,bia,3918495,95628348,1492.602060,1492.600000,8736.113,ok,423.8
level20|w040,7,nbs,3741060,91338276,1492.602060,1492.600000,7062.948,ok,422.3
level20|w040,8,astar,2159735,52734313,665.907413,665.907000,3533.112,ok,362.6
level20|w040,8,mm,0,0,0,665.907000,300000.000,timeout,553.0
level20|w040,8,bae,2261240,55485728,665.907413,665.907000,6697.212,ok,361.0
level20|w040,8,bia,2372774,58157197,665.907413,665.907000,5545.576,ok,281.9
level20|w040,8,nbs,2402892,58893457,665.907413,665.907000,4744.730,ok,291.4
level20|w040,9,astar,2849044,69662523,793.018117,793.018000,4810.785,ok,362.6
level20|w040,9,mm,0,0,0,793.018000,300000.000,timeout,553.1
level20|w040,9,bae,2291490,56194669,793.018117,793.018000,7426.389,ok,359.7
level20|w040,9,bia,2476330,60645186,793.018117,793.018000,6296.282,ok,282.1
level20|w040,9,nbs,2408966,59037494,793.018117,793.018000,4849.098,ok,291.4
level20|w040,10,astar,3727113,91001133,1352.628097,1352.630000,5920.206,ok,432.9
level20|w040,10,mm,0,0,0,1352.630000,300000.000,timeout,874.0
level20|w040,10,bae,3699526,90347314,1352.628097,1352.630000,11292.758,ok,549.5
level20|w040,10,bia,3918143,95619574,1352.628097,1352.630000,8763.207,ok,422.9
level20|w040,10,nbs,3741060,91338276,1352.628097,1352.630000,7202.020,ok,420.9
level20|w040,11,astar,3641237,88917174,1453.165401,1453.170000,5787.293,ok,425.5
level20|w040,11,mm,0,0,0,1453.170000,300000.000,timeout,869.8
level20|w040,11,bae,3693764,90210012,1453.165401,1453.170000,10926.598,ok,557.1
level20|w040,11,bia,3905921,95316002,1453.165401,1453.170000,8902.693,ok,423.7
level20|w040,11,nbs,3741060,91338276,1453.165401,1453.170000,7318.963,ok,421.1
level20|w040,12,astar,3600960,87914567,1401.740259,1401.740000,5750.425,ok,421.8
level20|w040,12,mm,0,0,0,1401.740000,300000.000,timeout,866.6
level20|w040,12,bae,3699088,90337082,1401.740259,1401.740000,11759.700,ok,554.4
level20|w040,12,bia,3914449,95527999,1401.740259,1401.740000,9577.946,ok,423.9
level20|w040,12,nbs,3741060,91338276,1401.740259,1401.740000,7467.116,ok,420.7
level20|w040,13,astar,3610721,88153886,1400.919361,1400.920000,5832.476,ok,421.7
level20|w040,13,mm,0,0,0,1400.920000,300000.000,timeout,866.7
level20|w040,13,bae,3699406,90344626,1400.919361,1400.920000,11245.041,ok,553.1
level20|w040,13,bia,3915741,95559916,1400.919361,1400.920000,9001.389,ok,423.9
level20|w040,13,nbs,3741060,91338276,1400.919361,1400.920000,7250.538,ok,420.1
level20|w040,14,astar,3616007,88318007,1114.763960,1114.760000,5950.271,ok,425.2
level20|w040,14,mm,0,0,0,1114.760000,300000.000,timeout,883.8
level20|w040,14,bae,3481250,85031140,1114.763960,1114.760000,10754.329,ok,532.4
level20|w040,14,bia,3626659,88539792,1114.763960,1114.760000,8865.158,ok,397.3
level20|w040,14,nbs,3667250,89530299,1114.763960,1114.760000,7333.369,ok,417.2
level20|w040,15,astar,2546813,62319616,1062.456374,1062.460000,4003.757,ok,362.5
level20|w040,15,mm,0,0,0,1062.460000,300000.000,timeout,902.4
level20|w040,15,bae,3289477,80421014,1062.456374,1062.460000,10733.018,ok,478.1
level20|w040,15,bia,3306629,80778191,1062.456374,1062.460000,7827.167,ok,370.6
level20|w040,15,nbs,3466378,84707450,1062.456374,1062.460000,7188.445,ok,406.9
level20|w040,16,astar,3390982,82816669,1182.378455,1182.380000,5709.460,ok,402.7
level20|w040,16,mm,0,0,0,1182.380000,300000.000,timeout,880.9
level20|w040,16,bae,3672798,89701948,1182.378455,1182.380000,11699.508,ok,545.7
level20|w040,16,bia,3893459,95012440,1182.378455,1182.380000,9352.328,ok,420.6
level20|w040,16,nbs,3741010,91337068,1182.378455,1182.380000,7452.312,ok,423.0
level20|w040,17,astar,3251103,79430612,912.397693,912.398000,5626.076,ok,396.6
level20|w040,17,mm,0,0,0,912.398000,300000.000,timeout,954.3
level20|w040,17,bae,3466388,84693071,912.397693,912.398000,10584.130,ok,536.7
level20|w040,17,bia,3550929,86626451,912.397693,912.398000,8755.951,ok,391.3
level20|w040,17,nbs,3597306,87804717,912.397693,912.398000,7495.689,ok,417.5
level20|w040,18,astar,3302932,80436703,1197.730930,1197.730000,5435.011,ok,398.6
level20|w040,18,mm,0,0,0,1197.730000,300000.000,timeout,857.4
level20|w040,18,bae,3683027,89949718,1197.730930,1197.730000,11201.401,ok,552.1
level20|w040,18,bia,3899596,95162575,1197.730930,1197.730000,9501.208,ok,421.9
level20|w040,18,nbs,3741226,91342212,1197.730930,1197.730000,7734.533,ok,422.4
level20|w040,19,astar,3004500,73472650,1175.899296,1175.900000,5016.111,ok,382.6
level20|w040,19,mm,0,0,0,1175.900000,300000.000,timeout,951.7
level20|w040,19,bae,3669237,89616315,1175.899296,1175.900000,9721.230,ok,545.9
level20|w040,19,bia,3921549,95704230,1175.899296,1175.900000,8347.877,ok,423.8
level20|w040,19,nbs,3744502,91420242,1175.899296,1175.900000,7154.165,ok,424.6
level20|w040,20,astar,3247356,79067918,1322.484644,1322.480000,5667.421,ok,396.6
level20|w040,20,mm,0,0,0,1322.480000,300000.000,timeout,872.3
level20|w040,20,bae,3693017,90191994,1322.484644,1322.480000,11952.213,ok,553.3
level20|w040,20,bia,3905808,95313369,1322.484644,1322.480000,9818.827,ok,421.9
level20|w040,20,nbs,3741060,91338276,1322.484644,1322.480000,7920.927,ok,421.8
level20|w040,21,astar,3241792,78943612,1182.255312,1182.260000,5542.021,ok,396.6
level20|w040,21,mm,0,0,0,1182.260000,300000.000,timeout,869.7
level20|w040,21,bae,3683059,89950562,1182.255312,1182.260000,12796.325,ok,551.6
level20|w040,21,bia,3900206,95174531,1182.255312,1182.260000,11236.796,ok,422.0
level20|w040,21,nbs,3741010,91337068,1182.255312,1182.260000,8107.366,ok,422.6
level20|w040,22,astar,2582874,63192304,769.011703,769.012000,4405.497,ok,362.6
level20|w040,22,mm,0,0,0,769.012000,300000.000,timeout,845.0
level20|w040,22,bae,2947160,72044145,769.011703,769.012000,10106.749,ok,452.6
level20|w040,22,bia,3409461,83259144,769.011703,769.012000,8824.491,ok,376.8
level20|w040,22,nbs,3518168,85951921,769.011703,769.012000,7787.220,ok,414.4
level20|w040,23,astar,3143779,76438836,1059.479496,1059.480000,5318.740,ok,390.6
level20|w040,23,mm,0,0,0,1059.480000,300000.000,timeout,868.9
level20|w040,23,bae,3520850,86018149,1059.479496,1059.480000,10618.941,ok,539.3
level20|w040,23,bia,3547585,86615425,1059.479496,1059.480000,8653.304,ok,390.0
level20|w040,23,nbs,3744418,91418264,1059.479496,1059.480000,7656.629,ok,424.6
level20|w040,24,astar,1991127,48248978,708.502571,708.503000,3326.152,ok,239.0
level20|w040,24,mm,0,0,0,708.503000,300000.000,timeout,716.2
level20|w040,24,bae,2056353,49871410,708.502571,708.503000,6161.811,ok,309.7
level20|w040,24,bia,2807699,68268847,708.502571,708.503000,6580.867,ok,300.6
level20|w040,24,nbs,2830270,69131736,708.502571,708.503000,5902.614,ok,311.2
level20|w040,25,astar,1532280,37165769,498.811667,498.812000,2647.117,ok,201.8
level20|w040,25,mm,0,0,0,498.812000,300000.000,timeout,423.6
level20|w040,25,bae,1335585,32449133,498.811667,498.812000,3722.726,ok,202.4
level20|w040,25,bia,1740904,42235823,498.811667,498.812000,4102.238,ok,201.3
level20|w040,25,nbs,1752074,42512488,498.811667,498.812000,3764.219,ok,213.8
level20|w040,26,astar,2705352,65944480,792.288060,792.288000,4372.300,ok,362.5
level20|w040,26,mm,0,0,0,792.288000,300000.000,timeout,761.8
level20|w040,26,bae,2906351,71125759,792.288060,792.288000,8993.917,ok,451.1
level20|w040,26,bia,3148482,76932940,792.288060,792.288000,7598.851,ok,363.1
level20|w040,26,nbs,3148858,76974050,792.288060,792.288000,6623.927,ok,369.9
