instance,cstar,fwd_cand,bwd_cand,mvc
0,1206.369520,3746151,2897562,2806584
1,607.588451,1618470,1801289,1618470
2,704.784708,2131242,1735946,1732523
3,1070.909011,2808901,3240727,2808899
4,1399.723401,3666868,3511148,3491745
5,1410.641353,3455611,3688283,3455609
6,927.571936,2409674,3153683,2409672
7,1492.602060,3723387,3703730,3553391
8,665.907413,1922093,1859527,1859525
9,793.018117,2590140,1923283,1917823
10,1352.628097,3665010,3149549,3103854
11,1453.165401,3600223,3726651,3555863
12,1401.740259,3557509,3646536,3554154
13,1400.919361,3572602,3640592,3554709
14,1114.763960,3551356,2605227,2571167
15,1062.456374,2518659,3739133,2518659
16,1182.378455,3343687,2900774,2900771
17,912.397693,3159324,2436787,2436785
18,1197.730930,3229111,3228251,3202148
19,1175.899296,2935205,3649281,2935203
20,1322.484644,3187714,3629503,3187712
21,1182.255312,3185908,3222419,3185905
22,769.011703,2558310,2244519,2244517
23,1059.479496,3094086,2925746,2837368
24,708.502571,1825675,2280008,1825672
25,498.811667,1313134,1424614,1313132
26,792.288060,2513231,2252128,2252125
27,1094.625812,2970873,3249052,2970872
28,682.074030,1996888,1777166,1777164
29,1283.738406,3209093,3489023,3209091
30,977.631399,2947976,2769096,2713768
31,1469.448944,3685005,3679746,3554154
32,1219.495282,3482244,2892053,2892050
33,1196.788883,3790421,2787531,2716968
34,1286.137079,3223645,3657226,3223643
35,742.289711,2535310,1861188,1861187
36,724.249486,2161985,2182350,2161983
37,751.213197,1934159,1967141,1874226
38,509.223642,1547771,1618032,1547769
39,979.055953,2628788,3237685,2628786
40,1398.767167,3691607,3446150,3445913
41,1170.371998,3713604,2787308,2716361
42,358.364908,667401,731063,653162
43,996.244577,2637105,3407216,2636261
44,1294.975029,3290368,3636119,3290367
45,1371.183374,3718460,3353057,3350130
46,1035.703820,3070751,2876941,2876938
47,1022.591174,2838016,2914610,2711030
48,621.265131,1396229,1924868,1381855
49,1459.382197,3539135,3739673,3539133
50,643.367042,1735537,1993111,1735535
51,649.713588,2033662,1808735,1808733
52,1317.426015,3581544,3138936,3138934
53,1245.028852,2996683,3471156,2996674
54,999.690028,3066425,2684345,2671962
55,1167.622896,3704140,2636886,2636884
56,1009.448169,3430700,2596254,2596252
57,1393.115170,3331005,3779947,3331003
58,576.151897,1765014,1316063,1316060
59,1146.624547,3640414,2872834,2710250
60,1431.387055,3461157,3707822,3455134
61,1388.891574,3359205,3741257,3359203
62,1207.391377,3759309,2858567,2710250
63,1451.602929,3750033,3536679,3536677
64,504.978189,1015928,1098354,1015927
65,628.186676,1561310,1887995,1561307
66,584.598948,1774197,1720497,1720495
67,1208.683177,3370014,2830325,2565053
68,1358.088456,3315308,3709509,3315306
69,741.769599,2313278,1874555,1874553
70,934.664236,2530754,2588168,2530752
71,1272.594672,2880168,3702249,2880166
72,1122.987222,3694387,2631907,2631907
73,1442.209360,3541122,3704853,3502103
74,794.149517,2739942,1802817,1802815
75,856.533029,2946457,2329602,2329600
76,619.869620,2161501,1662333,1662240
77,1394.541577,3667284,3508153,3508151
78,961.110021,2753220,2919344,2753218
79,1477.535797,3849142,3667355,3554851
