instance,cstar,fwd_cand,bwd_cand,mvc
0,235.107596,1718775,1824009,1614775
1,98.270620,250167,302530,250165
2,154.327115,682241,1087739,682240
3,171.944280,967409,1313396,967409
4,167.447535,1201468,1139094,1139087
5,203.992226,1494842,1571709,1480431
6,160.709949,747947,1005902,747947
7,137.928687,1019302,786186,786186
8,141.864419,590471,1079060,590471
9,193.107789,1498840,1594031,1498839
10,168.804139,877308,1194046,877307
11,107.686047,486371,446437,446432
12,133.584084,738043,686359,686359
13,161.435632,997477,1151001,923635
14,198.385067,1421726,1176638,1176637
15,147.959337,682748,1200529,682747
16,209.730348,1492786,1669072,1442478
17,141.192024,443923,638840,443923
18,182.609637,1138602,1096377,1096377
19,135.797287,605400,695512,605399
20,212.579903,1380802,1614070,1376796
21,151.681189,775627,954054,751677
22,207.083016,1578986,1575762,1509300
23,114.911636,357265,412178,355387
24,144.347758,949226,804938,804937
25,187.785578,1273005,1622742,1266143
26,116.545853,520486,472859,472859
27,164.823272,1111376,1225577,1061564
28,162.031134,1159367,1219362,1120690
29,148.664138,630093,1000503,629954
30,176.469927,1394525,1217230,1217229
31,190.779752,1235394,1109741,1109740
32,140.421497,656917,632612,611987
33,190.712084,1265352,1189879,1188320
34,142.502087,669789,436828,436795
35,88.065481,201905,203099,201904
36,118.937481,489688,418252,418252
37,124.333430,505182,572178,505182
38,194.808267,1155773,1483762,1155772
39,136.260176,754924,745027,704041
40,211.573884,1464832,1707605,1464830
41,150.270911,681954,1090812,681954
42,129.491836,567444,602276,552063
43,153.459244,449402,466023,447656
44,196.424949,1093592,995467,995467
45,115.410569,482514,512604,482028
46,201.706742,901717,1119435,901717
47,127.906778,696303,805987,683487
48,210.340037,1566198,1670769,1514520
49,172.620320,1184681,1408410,1162373
50,140.626688,942246,738992,738991
51,107.676576,352948,377372,352948
52,70.740115,62247,92176,62247
53,172.634024,1227583,1222690,1152049
54,195.908236,1051365,1502172,1051365
55,186.997813,1401531,1538804,1377256
56,157.960118,829330,906808,759860
57,133.239725,652839,988811,652838
58,194.392789,1314589,1504812,1287183
59,193.574420,1289222,1578491,1289221
60,161.344114,1094836,1181925,1049303
61,142.427568,1114019,678662,677269
62,112.605508,524018,613925,524018
63,164.947196,941875,1014305,856263
64,145.493294,555795,1094679,555794
65,202.373603,1608436,1643440,1593185
66,193.817983,1176444,1343436,1176444
67,106.353881,304051,440484,304051
68,198.471921,1518385,1524908,1423657
69,155.717962,773231,1299217,773231
70,219.229957,1690399,1713259,1560775
71,185.434664,1276744,1237331,1237107
72,197.949383,920018,1146984,920018
73,100.737928,272160,438613,272160
74,188.923346,1257501,1233601,1233601
75,145.974446,1021139,736942,736942
76,118.262363,486592,505670,484681
77,170.336533,972505,1395138,972014
78,152.092732,950346,1007575,949363
79,139.655203,373743,474324,373742
