tag,instance,alg,expanded,generated,cost,optimal,time_ms,status,peak_mb
plant01|w060,0,astar,1577925,39879263,235.107596,235.108000,3737.194,ok,187.4
plant01|w060,0,mm,0,0,0,235.108000,300000.000,timeout,389.0
plant01|w060,0,bae,1139692,28814510,235.107596,235.108000,5415.069,ok,174.6
plant01|w060,0,bia,1975807,49798680,235.107596,235.108000,8135.005,ok,210.7
plant01|w060,0,nbs,1620790,40898675,235.107596,235.108000,5147.702,ok,181.4
plant01|w060,1,astar,175693,4387840,98.270620,98.270600,309.285,ok,25.3
plant01|w060,1,mm,0,0,0,98.270600,300000.000,timeout,62.0
plant01|w060,1,bae,134479,3356320,98.270620,98.270600,314.203,ok,22.8
plant01|w060,1,bia,276731,6950602,98.270620,98.270600,610.320,ok,37.4
plant01|w060,1,nbs,264000,6639165,98.270620,98.270600,536.080,ok,36.3
plant01|w060,2,astar,518301,12970151,154.327115,154.327000,1915.053,ok,87.0
plant01|w060,2,mm,0,0,0,154.327000,300000.000,timeout,190.2
plant01|w060,2,bae,321509,7963228,154.327115,154.327000,946.744,ok,55.2
plant01|w060,2,bia,766679,19302264,154.327115,154.327000,2551.907,ok,87.3
plant01|w060,2,nbs,674870,16903768,154.327115,154.327000,1911.275,ok,77.7
plant01|w060,3,astar,782089,19696243,171.944280,171.944000,1818.620,ok,94.6
plant01|w060,3,mm,0,0,0,171.944000,300000.000,timeout,244.2
plant01|w060,3,bae,535314,13491549,171.944280,171.944000,2058.217,ok,89.2
plant01|w060,3,bia,1125961,28412651,171.944280,171.944000,3968.472,ok,136.1
plant01|w060,3,nbs,992002,25002814,171.944280,171.944000,2908.867,ok,110.6
plant01|w060,4,astar,952638,24141764,167.447535,167.448000,2201.871,ok,112.5
plant01|w060,4,mm,0,0,0,167.448000,300000.000,timeout,279.5
plant01|w060,4,bae,602765,15195817,167.447535,167.448000,2506.903,ok,89.9
plant01|w060,4,bia,1226856,31044133,167.447535,167.448000,5172.743,ok,135.8
plant01|w060,4,nbs,1128086,28510529,167.447535,167.448000,4029.288,ok,139.6
plant01|w060,5,astar,1325846,33612072,203.992226,203.992000,2946.744,ok,172.6
plant01|w060,5,mm,0,0,0,203.992000,300000.000,timeout,366.5
plant01|w060,5,bae,999697,25323156,203.992226,203.992000,4423.024,ok,172.6
plant01|w060,5,bia,1714284,43335856,203.992226,203.992000,6984.302,ok,186.8
plant01|w060,5,nbs,1456266,36784280,203.992226,203.992000,5295.261,ok,174.3
plant01|w060,6,astar,548711,13764295,160.709949,160.710000,1164.609,ok,86.9
plant01|w060,6,mm,0,0,0,160.710000,300000.000,timeout,174.5
plant01|w060,6,bae,358037,8955972,160.709949,160.710000,1101.184,ok,55.3
plant01|w060,6,bia,801983,20184447,160.709949,160.710000,2359.055,ok,89.4
plant01|w060,6,nbs,705574,17742122,160.709949,160.710000,2009.900,ok,86.2
plant01|w060,7,astar,778487,19927095,137.928687,137.929000,2047.812,ok,94.7
plant01|w060,7,mm,0,0,0,137.929000,300000.000,timeout,204.1
plant01|w060,7,bae,420955,10745571,137.928687,137.929000,1589.917,ok,69.2
plant01|w060,7,bia,921138,23499322,137.928687,137.929000,3526.966,ok,102.2
plant01|w060,7,nbs,822396,20965086,137.928687,137.929000,2896.735,ok,96.5
plant01|w060,8,astar,466194,11693050,141.864419,141.864000,856.709,ok,55.7
plant01|w060,8,mm,0,0,0,141.864000,300000.000,timeout,180.6
plant01|w060,8,bae,353176,8908216,141.864419,141.864000,1291.512,ok,56.3
plant01|w060,8,bia,676999,17125231,141.864419,141.864000,2326.905,ok,77.5
plant01|w060,8,nbs,690108,17483824,141.864419,141.864000,2220.739,ok,85.4
plant01|w060,9,astar,1312762,33239488,193.107789,193.108000,3377.845,ok,172.6
plant01|w060,9,mm,0,0,0,193.108000,300000.000,timeout,388.4
plant01|w060,9,bae,904235,22891998,193.107789,193.108000,4838.180,ok,139.9
plant01|w060,9,bia,1736191,43899436,193.107789,193.108000,8798.948,ok,188.2
plant01|w060,9,nbs,1510280,38118185,193.107789,193.108000,6194.918,ok,173.6
plant01|w060,10,astar,669518,16853378,168.804139,168.804000,1283.677,ok,86.9
plant01|w060,10,mm,0,0,0,168.804000,300000.000,timeout,211.7
plant01|w060,10,bae,450226,11356957,168.804139,168.804000,1785.605,ok,70.5
plant01|w060,10,bia,1005229,25336479,168.804139,168.804000,3728.762,ok,133.3
plant01|w060,10,nbs,911836,22974243,168.804139,168.804000,2979.319,ok,103.3
plant01|w060,11,astar,368973,9437913,107.686047,107.686000,745.104,ok,47.7
plant01|w060,11,mm,0,0,0,107.686000,300000.000,timeout,91.4
plant01|w060,11,bae,232604,5935510,107.686047,107.686000,1086.134,ok,46.7
plant01|w060,11,bia,506004,12889675,107.686047,107.686000,2166.184,ok,68.1
plant01|w060,11,nbs,419818,10677506,107.686047,107.686000,1646.155,ok,52.2
plant01|w060,12,astar,537166,13635047,133.584084,133.584000,1468.424,ok,87.0
plant01|w060,12,mm,0,0,0,133.584000,300000.000,timeout,161.2
plant01|w060,12,bae,334444,8508432,133.584084,133.584000,1361.450,ok,56.8
plant01|w060,12,bia,744948,18899208,133.584084,133.584000,3072.294,ok,87.2
plant01|w060,12,nbs,676798,17159978,133.584084,133.584000,2437.585,ok,72.2
plant01|w060,13,astar,759860,19261792,161.435632,161.436000,1886.548,ok,94.6
plant01|w060,13,mm,0,0,0,161.436000,300000.000,timeout,212.4
plant01|w060,13,bae,455909,11490152,161.435632,161.436000,2541.303,ok,70.6
plant01|w060,13,bia,1094517,27716676,161.435632,161.436000,6425.484,ok,136.0
