family,config,alg,n,pct_ok,pct_subopt,pct_timeout,pct_fail,mean_expanded,mean_exp_over_mvc,median_exp_over_mvc,mean_time_ms
crossover,w020,astar,6,100.0,0.0,0.0,0.0,749638.8,1.91,1.81,4570.422
crossover,w020,bae,6,100.0,0.0,0.0,0.0,295548,0.78,0.77,2991.034
crossover,w020,bia,6,100.0,0.0,0.0,0.0,865085.2,2.38,2.41,8938.56
crossover,w020,mm,6,0.0,0.0,100.0,0.0,,,,
crossover,w020,nbs,6,100.0,0.0,0.0,0.0,369540.3,0.99,0.98,2028.588
crossover,w020,rastar,6,100.0,0.0,0.0,0.0,624135.2,1.82,1.67,3554.644
crossover,w030,astar,6,100.0,0.0,0.0,0.0,586962,1.48,1.37,3177.68
crossover,w030,bae,6,100.0,0.0,0.0,0.0,253815.2,0.67,0.65,2343.195
crossover,w030,bia,6,100.0,0.0,0.0,0.0,691513,1.87,1.86,6578.992
crossover,w030,mm,6,16.7,0.0,83.3,0.0,115782,1.03,1.03,89328.757
crossover,w030,nbs,6,100.0,0.0,0.0,0.0,369540.3,0.99,0.98,1991.492
crossover,w030,rastar,6,100.0,0.0,0.0,0.0,504766.3,1.44,1.36,2606.682
crossover,w040,astar,6,100.0,0.0,0.0,0.0,444310.7,1.22,1.1,2390.521
crossover,w040,bae,6,100.0,0.0,0.0,0.0,212926.5,0.61,0.6,1801.442
crossover,w040,bia,6,100.0,0.0,0.0,0.0,529609,1.56,1.57,4848.498
crossover,w040,mm,6,0.0,0.0,100.0,0.0,,,,
crossover,w040,nbs,6,100.0,0.0,0.0,0.0,362917,1.07,1.06,2149.053
crossover,w040,rastar,6,100.0,0.0,0.0,0.0,398524.3,1.23,1.24,1835.976
crossover,w060,astar,6,100.0,0.0,0.0,0.0,232499.3,1.09,1.0,1217.379
crossover,w060,bae,6,100.0,0.0,0.0,0.0,134372.5,0.66,0.66,1031.625
crossover,w060,bia,6,100.0,0.0,0.0,0.0,294533.5,1.45,1.45,2495.463
crossover,w060,mm,6,16.7,0.0,83.3,0.0,79753,1.31,1.31,81482.635
crossover,w060,nbs,6,100.0,0.0,0.0,0.0,285207,1.41,1.41,1750.38
crossover,w060,rastar,6,100.0,0.0,0.0,0.0,227235.8,1.21,1.19,1046.927
crossover,w100,astar,6,100.0,0.0,0.0,0.0,800.8,1.09,1.08,1.855
crossover,w100,bae,6,100.0,0.0,0.0,0.0,19170.2,26.29,23.33,70.284
crossover,w100,bia,6,100.0,0.0,0.0,0.0,1583,2.15,2.15,4.148
crossover,w100,mm,6,100.0,0.0,0.0,0.0,21356.8,29.4,26.67,168.6
crossover,w100,nbs,6,100.0,0.0,0.0,0.0,7888.3,10.79,10.22,16.509
crossover,w100,rastar,6,100.0,0.0,0.0,0.0,34767.8,48.03,37.67,96.847
