instance,cstar,fwd_cand,bwd_cand,mvc
0,1.414214,0,0,0
1,1.414214,0,0,0
2,2.000000,0,0,0
3,2.414214,0,0,0
4,2.414214,0,0,0
5,2.000000,0,0,0
6,2.828427,0,0,0
7,2.000000,0,0,0
8,2.414214,0,0,0
9,2.414214,0,0,0
10,87.157000,743,6698,743
11,65.069610,762,14217,762
12,99.714755,738,44929,738
13,101.575342,726,39919,726
14,104.403040,742,15070,742
15,126.375009,706,87662,706
16,63.213203,797,7032,797
17,139.756630,683,2083,683
18,80.485281,736,9803,736
19,69.137278,753,12770,753
20,95.960847,1542,31644,1542
21,134.792674,216,41749,216
22,83.035315,1552,12883,1552
23,121.308122,1471,57464,1471
24,91.438600,1598,19734,1598
