family,map,config,instance,alg,expanded,mvc,exp_over_mvc
descent,level02,nodiag,77,mm,1603313,1610411.0,0.9955924295102306
descent,level03,nodiag,59,mm,4418854,4427595.0,0.9980257905251045
descent,level03,nodiag,79,mm,2920734,2924531.0,0.998701672165554
descent,level05,nodiag,36,mm,2152389,2155094.0,0.9987448343320523
descent,level05,nodiag,84,mm,2274793,2281541.0,0.9970423498854503
descent,level05,nodiag,466,mm,2170579,2172082.0,0.9993080371735505
descent,level06,nodiag,119,mm,2127290,2127813.0,0.999754207724081
descent,level06,nodiag,156,mm,2216813,2217446.0,0.9997145364531989
descent,level06,nodiag,320,mm,2209822,2211375.0,0.9992977220055396
descent,level06,nodiag,331,mm,2278611,2279436.0,0.9996380683642796
descent,level06,nodiag,382,mm,2123831,2125410.0,0.9992570845154582
descent,level06,nodiag,396,mm,2298354,2299334.0,0.9995737896277792
descent,level06,nodiag,411,mm,2249584,2251805.0,0.9990136801366015
descent,level07,nodiag,251,mm,6061563,6064279.0,0.9995521314240324
descent,level07,nodiag,411,mm,6325498,6331683.0,0.9990231665103891
descent,level12,nodiag,50,mm,5057820,5065838.0,0.9984172411356226
descent,level12,nodiag,176,mm,3466019,3480493.0,0.9958413937335889
descent,level12,nodiag,273,mm,8470342,8499388.0,0.99658257747499
descent,level12,nodiag,324,mm,8579820,8590419.0,0.998766183581965
descent,level12,nodiag,404,mm,1830212,1834232.0,0.9978083470357075
descent,level12,nodiag,434,mm,5225683,5246025.0,0.9961223974342478
descent,level12,nodiag,450,mm,6168117,6171625.0,0.9994315921657586
descent,level12,nodiag,470,mm,8085194,8104711.0,0.9975918943932732
descent,level13,nodiag,440,mm,373514,375330.0,0.9951615911331362
descent,level17,nodiag,355,mm,4637659,4639845.0,0.9995288635719513
descent,level17,nodiag,415,mm,4702994,4707613.0,0.9990188233399814
descent,level21,nodiag,150,mm,2136309,2138795.0,0.9988376632636602
descent,level21,nodiag,293,mm,3719424,3725583.0,0.9983468359180294
descent,level21,nodiag,476,mm,1786452,1788585.0,0.9988074371640151
descent,level24,nodiag,328,mm,3598905,3599143.0,0.9999338731470242
descent,level25,nodiag,253,mm,3704305,3718180.0,0.9962683355835382
descent,levels3,nodiag,6,mm,2302618,2303232.0,0.9997334180838057
descent,levels3,nodiag,8,mm,2583379,2593739.0,0.9960057661931289
descent,levels3,nodiag,202,mm,2590484,2596459.0,0.9976987890045635
descent,levels3,nodiag,218,mm,3033375,3035082.0,0.999437576974856
descent,levels3,nodiag,245,mm,2632304,2644325.0,0.9954540383651782
descent,levels3,nodiag,308,mm,2568912,2581991.0,0.9949345292063373
descent,levels3,nodiag,399,mm,1575331,1580063.0,0.9970051827047403
descent,levels3,nodiag,405,mm,2711521,2719857.0,0.9969351329867709
descent,levels3,nodiag,473,mm,1642471,1647558.0,0.9969124000490422
industrial-plants,plant01,diag,860,mm,12633,12845.0,0.9834955235500195
industrial-plants,plant01,diag,1049,mm,35563,35849.0,0.9920220926664621
industrial-plants,plant01,diag,1237,mm,22109,22220.0,0.995004500450045
industrial-plants,plant02,diag,292,mm,18085,18532.0,0.9758795596805525
sandstone,BB,nodiag,15,mm,1378847,1385754.0,0.995015709859037
sandstone,BB,nodiag,33,mm,1727021,1727492.0,0.9997273504016227
sandstone,BB,nodiag,176,mm,1279928,1285105.0,0.9959715353998312
sandstone,BB,nodiag,350,mm,956529,959771.0,0.9966221108993708
sandstone,BUG,nodiag,471,mm,2482272,2484758.0,0.9989995001525299
sandstone,BanderaBrown,nodiag,34,mm,1247234,1247725.0,0.999606483800517
sandstone,BanderaBrown,nodiag,111,mm,1295207,1297696.0,0.9980819853031835
sandstone,BanderaBrown,nodiag,174,mm,1046029,1047008.0,0.9990649546135273
sandstone,BanderaBrown,nodiag,210,mm,1090086,1090621.0,0.9995094537882546
