tag,instance,alg,expanded,generated,cost,optimal,time_ms,status,peak_mb
Parker|w080,0,astar,1780845,38260490,571.656894,571.657000,3615.247,ok,209.3
Parker|w080,0,mm,0,0,0,571.657000,300000.000,timeout,517.0
Parker|w080,0,bae,868280,18379548,571.656894,571.657000,2709.708,ok,138.7
Parker|w080,0,bia,2767877,58425711,571.656894,571.657000,10077.929,ok,290.0
Parker|w080,0,nbs,1984234,42003745,571.656894,571.657000,6147.496,ok,226.0
Parker|w080,1,astar,3665062,76790127,670.628915,670.629000,8933.671,ok,420.8
Parker|w080,1,mm,0,0,0,670.629000,300000.000,timeout,1344.2
Parker|w080,1,bae,3045085,65014017,670.628915,670.629000,10606.482,ok,452.3
Parker|w080,1,bia,5161527,108779521,670.628915,670.629000,14790.072,ok,536.6
Parker|w080,1,nbs,4652584,98614600,670.628915,670.629000,11604.387,ok,556.9
Parker|w080,2,astar,3671127,76977658,749.507521,749.508000,10204.587,ok,422.1
Parker|w080,2,mm,0,0,0,749.508000,300000.000,timeout,847.3
Parker|w080,2,bae,1654101,34781275,749.507521,749.508000,6341.864,ok,263.6
Parker|w080,2,bia,4374810,91237965,749.507521,749.508000,13697.972,ok,536.3
Parker|w080,2,nbs,3245616,67868343,749.507521,749.508000,9097.877,ok,389.8
Parker|w080,3,astar,1302601,27472111,464.206398,464.206000,2543.179,ok,180.3
Parker|w080,3,mm,0,0,0,464.206000,300000.000,timeout,538.8
Parker|w080,3,bae,894743,18837459,464.206398,464.206000,3287.640,ok,138.1
Parker|w080,3,bia,2024101,42786897,464.206398,464.206000,7120.219,ok,218.4
Parker|w080,3,nbs,1971494,41294349,464.206398,464.206000,6102.720,ok,226.1
Parker|w080,4,astar,4276504,90463387,660.274841,660.275000,12744.804,ok,693.8
Parker|w080,4,mm,0,0,0,660.275000,300000.000,timeout,1307.4
Parker|w080,4,bae,2355414,49167282,660.274841,660.275000,9467.621,ok,354.0
Parker|w080,4,bia,5816700,121975321,660.274841,660.275000,24566.509,ok,639.1
Parker|w080,4,nbs,4389352,92132453,660.274841,660.275000,14290.159,ok,557.1
Parker|w080,5,astar,2919789,62016442,581.707266,581.707000,7179.680,ok,370.0
Parker|w080,5,mm,0,0,0,581.707000,300000.000,timeout,795.6
Parker|w080,5,bae,1693799,36578904,581.707266,581.707000,5935.395,ok,265.8
Parker|w080,5,bia,3380264,71375001,581.707266,581.707000,10006.688,ok,367.9
Parker|w080,5,nbs,3148490,66562385,581.707266,581.707000,8946.457,ok,387.3
Parker|w080,6,astar,3214978,67964742,682.690996,682.691000,7063.585,ok,385.9
Parker|w080,6,mm,0,0,0,682.691000,300000.000,timeout,1015.3
Parker|w080,6,bae,1871032,39238889,682.690996,682.691000,6565.280,ok,281.7
Parker|w080,6,bia,4746709,99842619,682.690996,682.691000,15906.675,ok,536.6
Parker|w080,6,nbs,3840538,81121331,682.690996,682.691000,10210.891,ok,427.7
Parker|w080,7,astar,660298,13933164,400.388654,400.389000,1054.879,ok,94.6
Parker|w080,7,mm,0,0,0,400.389000,300000.000,timeout,292.8
Parker|w080,7,bae,578717,12373217,400.388654,400.389000,1531.682,ok,95.6
Parker|w080,7,bia,938461,19783502,400.388654,400.389000,2025.641,ok,106.7
Parker|w080,7,nbs,982246,20772230,400.388654,400.389000,2061.670,ok,116.3
Parker|w080,8,astar,512602,10844681,315.306903,315.307000,817.158,ok,94.6
Parker|w080,8,mm,0,0,0,315.307000,300000.000,timeout,196.6
Parker|w080,8,bae,409361,8645622,315.306903,315.307000,988.671,ok,68.6
Parker|w080,8,bia,785567,16548997,315.306903,315.307000,1667.269,ok,94.0
Parker|w080,8,nbs,773966,16273828,315.306903,315.307000,1627.825,ok,102.9
Parker|w080,9,astar,1811663,38039477,539.221069,539.221000,3595.810,ok,213.1
Parker|w080,9,mm,0,0,0,539.221000,300000.000,timeout,714.9
Parker|w080,9,bae,1655870,35555220,539.221069,539.221000,5269.854,ok,261.4
Parker|w080,9,bia,2781027,58806396,539.221069,539.221000,7576.174,ok,288.3
Parker|w080,9,nbs,2855746,60322057,539.221069,539.221000,6867.274,ok,306.7
Parker|w080,10,astar,2754050,57551777,623.818997,623.819000,4928.453,ok,351.7
Parker|w080,10,mm,0,0,0,623.819000,300000.000,timeout,1258.3
Parker|w080,10,bae,2616467,55823190,623.818997,623.819000,9499.081,ok,372.2
Parker|w080,10,bia,4522411,95577287,623.818997,623.819000,13978.963,ok,535.9
Parker|w080,10,nbs,4374206,92549873,623.818997,623.819000,11476.604,ok,556.1
Parker|w080,11,astar,591576,12712639,340.271395,340.271000,934.753,ok,94.6
Parker|w080,11,mm,0,0,0,340.271000,300000.000,timeout,307.7
Parker|w080,11,bae,692084,15336150,340.271395,340.271000,1931.313,ok,113.9
Parker|w080,11,bia,944777,20515227,340.271395,340.271000,2050.587,ok,109.4
Parker|w080,11,nbs,1052020,22786055,340.271395,340.271000,2223.809,ok,146.8
Parker|w080,12,astar,700652,15048619,333.751767,333.752000,1165.531,ok,96.1
Parker|w080,12,mm,0,0,0,333.752000,300000.000,timeout,298.1
Parker|w080,12,bae,626130,13224824,333.751767,333.752000,1744.216,ok,96.9
Parker|w080,12,bia,1030175,21880654,333.751767,333.752000,2336.807,ok,139.7
