instance,cstar,fwd_cand,bwd_cand,mvc
0,571.656894,1132732,1559404,1132732
1,670.628915,2454599,3740369,2454599
2,749.507521,1795509,2258813,1781870
3,464.206398,472637,932581,472637
4,660.274841,2232284,2638659,2232284
5,581.707266,1228596,1387027,1228596
6,682.690996,1754156,3046396,1754156
7,400.388654,250126,590927,250126
8,315.306903,250140,316130,250140
9,539.221069,748491,1715845,748491
10,623.818997,1520763,2380862,1520763
11,340.271395,236309,394466,236309
12,333.751767,305743,544442,305743
13,529.214217,1010674,1217873,1010674
14,562.459284,1242471,1293968,1242471
15,667.422318,2099598,3688405,2099598
16,678.010775,2061486,2443403,2061486
17,477.303258,638605,1625156,638605
18,522.134840,790189,990888,790189
19,624.947913,2343626,2813972,2343626
20,532.355817,2527325,2898643,2527325
21,659.528358,1440802,1613146,1440802
22,291.978330,179754,236914,179754
23,714.570524,1892809,2045032,1892809
24,471.733794,928240,981599,928240
25,642.387435,1172983,2248056,1172983
26,615.181864,1348532,1603914,1348532
27,555.505288,2032711,2337974,2032711
28,643.745013,2196415,2360101,2196415
29,571.642566,1281555,1982787,1281555
30,480.804914,817417,1050403,817417
31,571.644701,1893047,2138890,1893047
32,680.231507,2175336,2706282,2175336
33,655.032580,2009174,4097520,2009174
34,397.598219,194474,394552,194474
35,616.569259,1961453,2609090,1961453
36,690.347903,1914912,2391916,1913863
37,690.611187,2899441,3113958,2809508
38,420.547357,416948,432796,416948
39,486.946268,927875,941653,927875
40,393.637662,444769,625471,444769
41,328.113421,375299,421393,375299
42,710.474877,2098659,3412939,2098659
43,631.570769,2149199,2826941,2080113
44,667.753078,2209483,2245006,2209483
45,615.546138,1903620,2016734,1903620
46,543.024812,1401074,1777167,1401074
47,681.711343,1480011,2264199,1480011
48,576.352172,1614753,2023978,1614753
49,446.945977,486514,797348,486514
50,592.993672,1741755,1757151,1741755
51,475.081068,886853,896378,886853
52,9.342417,0,0,0
53,576.879329,817680,1452609,817680
54,635.892438,1792964,2638249,1792964
55,400.276737,597128,1106803,597128
56,684.019814,2651207,4674843,2651207
57,706.965797,2658746,4910293,2658746
58,357.881032,111025,608108,111025
59,751.647179,2653272,3676693,2636946
60,481.498005,776471,1285551,776471
61,409.995433,403095,848829,403095
62,611.974731,1400649,2765447,1400649
63,658.903664,1865602,2782534,1865602
64,338.318560,152806,203468,152806
65,558.495818,1241561,1462458,1241561
66,661.820455,1625227,1839441,1625227
67,554.843576,1361702,1594627,1361702
68,609.164813,1806945,2120579,1806945
69,640.065521,2103288,2326847,2103288
70,646.866698,1986216,3317796,1986216
71,333.531087,111085,368114,111085
72,571.473664,1703817,3149611,1703817
73,662.805345,2274405,2964998,2183389
74,802.275809,2201486,5416437,2201486
75,484.965506,1321746,1452978,1321746
76,643.849699,2098379,2212616,2072807
77,133.092732,27751,100029,27751
78,573.783385,2146898,2388730,2146898
79,602.285769,2263265,2366803,2263265
