tag,instance,alg,expanded,generated,cost,optimal,time_ms,status,peak_mb
level20|w050,0,astar,3746152,91456535,1206.369520,1206.370000,6468.994,ok,436.7
level20|w050,0,mm,0,0,0,1206.370000,300000.000,timeout,1005.0
level20|w050,0,bae,3460303,84542738,1206.369520,1206.370000,9702.795,ok,486.6
level20|w050,0,bia,3417489,83465421,1206.369520,1206.370000,7965.474,ok,379.1
level20|w050,0,nbs,3736016,91220700,1206.369520,1206.370000,7589.744,ok,422.5
level20|w050,1,astar,1618471,39284807,607.588451,607.588000,2753.289,ok,205.8
level20|w050,1,mm,0,0,0,607.588000,300000.000,timeout,623.2
level20|w050,1,bae,2012091,49393782,607.588451,607.588000,5512.543,ok,300.2
level20|w050,1,bia,2440127,59751038,607.588451,607.588000,5446.197,ok,281.3
level20|w050,1,nbs,2295052,56289604,607.588451,607.588000,4478.287,ok,286.0
level20|w050,2,astar,2131243,52265947,704.784708,704.785000,3497.239,ok,362.7
level20|w050,2,mm,0,0,0,704.785000,300000.000,timeout,504.5
level20|w050,2,bae,2158712,52961128,704.784708,704.785000,5716.215,ok,358.3
level20|w050,2,bia,2030529,49899105,704.784708,704.785000,4343.686,ok,227.3
level20|w050,2,nbs,2215558,54340738,704.784708,704.785000,4111.479,ok,288.9
level20|w050,3,astar,2808902,68109209,1070.909011,1070.910000,4467.135,ok,362.6
level20|w050,3,mm,0,0,0,1070.910000,300000.000,timeout,959.9
level20|w050,3,bae,3680652,89899815,1070.909011,1070.910000,9686.226,ok,509.2
level20|w050,3,bia,3935095,96024744,1070.909011,1070.910000,8973.082,ok,428.4
level20|w050,3,nbs,3740966,91336030,1070.909011,1070.910000,6974.091,ok,404.6
level20|w050,4,astar,3666869,89515489,1399.723401,1399.720000,5665.267,ok,429.4
level20|w050,4,mm,0,0,0,1399.720000,300000.000,timeout,924.9
level20|w050,4,bae,3682887,89950201,1399.723401,1399.720000,9953.046,ok,560.5
level20|w050,4,bia,3919834,95660850,1399.723401,1399.720000,8539.153,ok,422.3
level20|w050,4,nbs,3741060,91338276,1399.723401,1399.720000,6826.947,ok,402.7
level20|w050,5,astar,3455612,84401124,1410.641353,1410.640000,5419.642,ok,407.0
level20|w050,5,mm,0,0,0,1410.640000,300000.000,timeout,974.8
level20|w050,5,bae,3661576,89436128,1410.641353,1410.640000,9454.078,ok,506.2
level20|w050,5,bia,3903409,95257625,1410.641353,1410.640000,8242.024,ok,422.4
level20|w050,5,nbs,3741060,91338276,1410.641353,1410.640000,6921.352,ok,403.7
level20|w050,6,astar,2409675,58424564,927.571936,927.572000,3766.583,ok,362.5
level20|w050,6,mm,0,0,0,927.572000,300000.000,timeout,1101.6
level20|w050,6,bae,3039849,74090975,927.571936,927.572000,8438.970,ok,446.7
level20|w050,6,bia,3236910,78685276,927.571936,927.572000,7507.891,ok,370.1
level20|w050,6,nbs,3545216,86564924,927.571936,927.572000,7072.488,ok,389.4
level20|w050,7,astar,3723388,90913561,1492.602060,1492.600000,5743.587,ok,432.9
level20|w050,7,mm,0,0,0,1492.600000,300000.000,timeout,986.1
level20|w050,7,bae,3682444,89937878,1492.602060,1492.600000,9364.209,ok,513.2
level20|w050,7,bia,3924731,95782333,1492.602060,1492.600000,8344.984,ok,422.3
level20|w050,7,nbs,3741060,91338276,1492.602060,1492.600000,6784.747,ok,426.1
level20|w050,8,astar,1922094,46881567,665.907413,665.907000,2973.660,ok,235.3
level20|w050,8,mm,0,0,0,665.907000,300000.000,timeout,639.5
level20|w050,8,bae,2139449,52513757,665.907413,665.907000,5470.117,ok,352.4
level20|w050,8,bia,2548932,62370121,665.907413,665.907000,5304.626,ok,281.2
level20|w050,8,nbs,2359500,57829294,665.907413,665.907000,4259.687,ok,285.7
level20|w050,9,astar,2590141,63371233,793.018117,793.018000,4066.922,ok,362.6
level20|w050,9,mm,0,0,0,793.018000,300000.000,timeout,682.6
level20|w050,9,bae,2257935,55386414,793.018117,793.018000,5931.604,ok,355.4
level20|w050,9,bia,2441946,59823556,793.018117,793.018000,5272.497,ok,283.5
level20|w050,9,nbs,2408966,59037494,793.018117,793.018000,4531.048,ok,290.4
level20|w050,10,astar,3665011,89482613,1352.628097,1352.630000,5694.232,ok,429.2
level20|w050,10,mm,0,0,0,1352.630000,300000.000,timeout,951.8
level20|w050,10,bae,3682487,89938849,1352.628097,1352.630000,9244.436,ok,507.2
level20|w050,10,bia,3924587,95778742,1352.628097,1352.630000,8231.366,ok,425.1
level20|w050,10,nbs,3741060,91338276,1352.628097,1352.630000,6656.379,ok,403.9
level20|w050,11,astar,3600224,87924812,1453.165401,1453.170000,5535.855,ok,421.8
level20|w050,11,mm,0,0,0,1453.170000,300000.000,timeout,935.2
level20|w050,11,bae,3675178,89764425,1453.165401,1453.170000,9820.458,ok,558.6
level20|w050,11,bia,3910893,95439235,1453.165401,1453.170000,8334.854,ok,422.4
level20|w050,11,nbs,3741060,91338276,1453.165401,1453.170000,6682.516,ok,403.4
level20|w050,12,astar,3557510,86873576,1401.740259,1401.740000,5607.243,ok,418.1
level20|w050,12,mm,0,0,0,1401.740000,300000.000,timeout,954.3
level20|w050,12,bae,3682289,89934272,1401.740259,1401.740000,9489.265,ok,512.4
level20|w050,12,bia,3921775,95709047,1401.740259,1401.740000,8409.694,ok,425.1
level20|w050,12,nbs,3741060,91338276,1401.740259,1401.740000,6773.671,ok,401.9
level20|w050,13,astar,3572603,87229572,1400.919361,1400.920000,5592.546,ok,418.1
level20|w050,13,mm,0,0,0,1400.920000,300000.000,timeout,948.9
level20|w050,13,bae,3682422,89937333,1400.919361,1400.920000,9699.196,ok,510.9
level20|w050,13,bia,3923043,95740479,1400.919361,1400.920000,8601.062,ok,422.3
level20|w050,13,nbs,3741060,91338276,1400.919361,1400.920000,6774.475,ok,401.2
level20|w050,14,astar,3551357,86754696,1114.763960,1114.760000,5840.061,ok,418.2
level20|w050,14,mm,0,0,0,1114.760000,300000.000,timeout,1068.6
level20|w050,14,bae,3408346,83294350,1114.763960,1114.760000,9397.286,ok,480.8
level20|w050,14,bia,3539245,86336367,1114.763960,1114.760000,8049.590,ok,389.8
level20|w050,14,nbs,3667250,89530299,1114.763960,1114.760000,7324.277,ok,423.3
level20|w050,15,astar,2518660,61639414,1062.456374,1062.460000,3810.611,ok,362.5
level20|w050,15,mm,0,0,0,1062.460000,300000.000,timeout,1005.7
level20|w050,15,bae,3264109,79794074,1062.456374,1062.460000,8920.412,ok,465.8
level20|w050,15,bia,3286077,80285884,1062.456374,1062.460000,7403.344,ok,370.4
level20|w050,15,nbs,3466378,84707450,1062.456374,1062.460000,6798.246,ok,381.6
level20|w050,16,astar,3343688,81668757,1182.378455,1182.380000,5516.409,ok,400.6
level20|w050,16,mm,0,0,0,1182.380000,300000.000,timeout,979.0
level20|w050,16,bae,3646155,89061473,1182.378455,1182.380000,9863.505,ok,505.0
level20|w050,16,bia,3893009,95006534,1182.378455,1182.380000,8763.585,ok,421.0
level20|w050,16,nbs,3741010,91337068,1182.378455,1182.380000,7092.757,ok,403.4
level20|w050,17,astar,3159325,77223868,912.397693,912.398000,5424.357,ok,390.6
level20|w050,17,mm,0,0,0,912.398000,300000.000,timeout,1108.7
level20|w050,17,bae,3335895,81508441,912.397693,912.398000,9133.074,ok,468.2
level20|w050,17,bia,3448707,84039731,912.397693,912.398000,7860.542,ok,382.3
level20|w050,17,nbs,3603394,87951705,912.397693,912.398000,7289.773,ok,416.5
level20|w050,18,astar,3229112,78579511,1197.730930,1197.730000,5158.004,ok,394.6
level20|w050,18,mm,0,0,0,1197.730000,300000.000,timeout,906.3
level20|w050,18,bae,3661359,89430537,1197.730930,1197.730000,9364.438,ok,506.7
level20|w050,18,bia,3901248,95210764,1197.730930,1197.730000,8411.772,ok,422.4
level20|w050,18,nbs,3741226,91342212,1197.730930,1197.730000,7065.387,ok,404.7
level20|w050,19,astar,2935206,71781590,1175.899296,1175.900000,4740.907,ok,377.0
level20|w050,19,mm,0,0,0,1175.900000,300000.000,timeout,1046.2
level20|w050,19,bae,3612208,88253785,1175.899296,1175.900000,9230.447,ok,504.1
level20|w050,19,bia,3884038,94805990,1175.899296,1175.900000,8179.800,ok,422.5
level20|w050,19,nbs,3744502,91420242,1175.899296,1175.900000,6810.231,ok,403.7
level20|w050,20,astar,3187715,77570237,1322.484644,1322.480000,5507.169,ok,393.7
level20|w050,20,mm,0,0,0,1322.480000,300000.000,timeout,937.0
level20|w050,20,bae,3674252,89742006,1322.484644,1322.480000,10360.527,ok,513.9
level20|w050,20,bia,3910758,95435938,1322.484644,1322.480000,9236.387,ok,422.4
level20|w050,20,nbs,3741060,91338276,1322.484644,1322.480000,7242.067,ok,402.9
level20|w050,21,astar,3185909,77545450,1182.255312,1182.260000,5617.576,ok,393.7
level20|w050,21,mm,0,0,0,1182.260000,300000.000,timeout,976.9
level20|w050,21,bae,3661598,89436654,1182.255312,1182.260000,10643.891,ok,505.2
level20|w050,21,bia,3902682,95243493,1182.255312,1182.260000,9763.071,ok,422.5
level20|w050,21,nbs,3741010,91337068,1182.255312,1182.260000,7559.299,ok,403.8
level20|w050,22,astar,2558311,62600346,769.011703,769.012000,4466.556,ok,361.7
level20|w050,22,mm,0,0,0,769.012000,300000.000,timeout,951.1
level20|w050,22,bae,2845987,69610824,769.011703,769.012000,7742.659,ok,388.9
level20|w050,22,bia,3355367,81944504,769.011703,769.012000,7681.147,ok,374.1
level20|w050,22,nbs,3366562,82268870,769.011703,769.012000,6993.798,ok,378.3
level20|w050,23,astar,3094087,75194998,1059.479496,1059.480000,5037.144,ok,387.7
level20|w050,23,mm,0,0,0,1059.480000,300000.000,timeout,923.2
level20|w050,23,bae,3452240,84356168,1059.479496,1059.480000,9041.975,ok,482.8
level20|w050,23,bia,3399143,83026142,1059.479496,1059.480000,7468.935,ok,377.7
level20|w050,23,nbs,3744418,91418264,1059.479496,1059.480000,6887.505,ok,403.7
level20|w050,24,astar,1825676,44236997,708.502571,708.503000,2849.777,ok,222.5
level20|w050,24,mm,0,0,0,708.503000,300000.000,timeout,766.7
level20|w050,24,bae,1910597,46286210,708.502571,708.503000,5019.640,ok,288.5
level20|w050,24,bia,2496573,60543408,708.502571,708.503000,5398.213,ok,283.3
level20|w050,24,nbs,2561264,62369577,708.502571,708.503000,4959.062,ok,289.0
level20|w050,25,astar,1313135,31862092,498.811667,498.812000,2110.282,ok,190.3
level20|w050,25,mm,0,0,0,498.812000,300000.000,timeout,428.5
level20|w050,25,bae,1155180,28077690,498.811667,498.812000,2757.654,ok,185.2
level20|w050,25,bia,1706792,41436960,498.811667,498.812000,3524.982,ok,199.7
level20|w050,25,nbs,1684274,40850237,498.811667,498.812000,3139.392,ok,198.0
level20|w050,26,astar,2513232,61251110,792.288060,792.288000,3888.648,ok,361.7
level20|w050,26,mm,0,0,0,792.288000,300000.000,timeout,797.5
level20|w050,26,bae,2760244,67590205,792.288060,792.288000,7102.636,ok,375.7
level20|w050,26,bia,3097044,75684581,792.288060,792.288000,6770.123,ok,362.4
level20|w050,26,nbs,3135266,76640090,792.288060,792.288000,5989.542,ok,364.9
level20|w050,27,astar,2970874,72653577,1094.625812,1094.630000,4830.127,ok,381.7
level20|w050,27,mm,0,0,0,1094.630000,300000.000,timeout,935.0
level20|w050,27,bae,3636118,88822337,1094.625812,1094.630000,9721.905,ok,498.8
level20|w050,27,bia,3929863,95902808,1094.625812,1094.630000,8823.182,ok,426.1
level20|w050,27,nbs,3741794,91355772,1094.625812,1094.630000,7178.843,ok,403.0
level20|w050,28,astar,1996889,48431565,682.074030,682.074000,3189.732,ok,241.1
level20|w050,28,mm,0,0,0,682.074000,300000.000,timeout,595.7
level20|w050,28,bae,1862180,45172894,682.074030,682.074000,4586.283,ok,267.5
level20|w050,28,bia,2350377,56998465,682.074030,682.074000,4961.595,ok,281.4
level20|w050,28,nbs,2094796,50779075,682.074030,682.074000,3975.177,ok,286.9
level20|w050,29,astar,3209094,78138743,1283.738406,1283.740000,5079.335,ok,393.7
level20|w050,29,mm,0,0,0,1283.740000,300000.000,timeout,929.8
level20|w050,29,bae,3681667,89921056,1283.738406,1283.740000,9829.384,ok,559.8
level20|w050,29,bia,3916516,95578528,1283.738406,1283.740000,8457.823,ok,422.3
level20|w050,29,nbs,3740966,91336030,1283.738406,1283.740000,6723.319,ok,404.6
level20|w050,30,astar,2947977,71567152,977.631399,977.631000,4821.472,ok,378.1
level20|w050,30,mm,0,0,0,977.631000,300000.000,timeout,908.5
level20|w050,30,bae,3283258,80266647,977.631399,977.631000,9064.178,ok,467.2
level20|w050,30,bia,3283830,80230659,977.631399,977.631000,7533.413,ok,370.3
level20|w050,30,nbs,3544900,86599071,977.631399,977.631000,6850.308,ok,413.6
level20|w050,31,astar,3685006,89975833,1469.448944,1469.450000,5786.819,ok,431.3
level20|w050,31,mm,0,0,0,1469.450000,300000.000,timeout,986.7
level20|w050,31,bae,3682444,89937878,1469.448944,1469.450000,9322.130,ok,508.8
level20|w050,31,bia,3924587,95778742,1469.448944,1469.450000,8235.285,ok,424.3
level20|w050,31,nbs,3741060,91338276,1469.448944,1469.450000,6632.321,ok,403.3
level20|w050,32,astar,3482245,85061741,1219.495282,1219.500000,5653.098,ok,409.1
level20|w050,32,mm,0,0,0,1219.500000,300000.000,timeout,1126.3
level20|w050,32,bae,3662190,89451762,1219.495282,1219.500000,9757.643,ok,499.5
level20|w050,32,bia,3903973,95270147,1219.495282,1219.500000,8725.891,ok,422.4
level20|w050,32,nbs,3741010,91337068,1219.495282,1219.500000,7062.536,ok,401.1
level20|w050,33,astar,3790422,92549118,1196.788883,1196.790000,6056.912,ok,442.6
level20|w050,33,mm,0,0,0,1196.790000,300000.000,timeout,1004.1
level20|w050,33,bae,3292078,80463851,1196.788883,1196.790000,8530.943,ok,465.8
level20|w050,33,bia,3310323,80865276,1196.788883,1196.790000,7169.316,ok,370.4
level20|w050,33,nbs,3520816,85997298,1196.788883,1196.790000,6364.952,ok,388.4
level20|w050,34,astar,3223646,78760058,1286.137079,1286.140000,5217.495,ok,393.7
level20|w050,34,mm,0,0,0,1286.140000,300000.000,timeout,1064.3
level20|w050,34,bae,3666062,89544726,1286.137079,1286.140000,9831.438,ok,509.9
level20|w050,34,bia,3905601,95307049,1286.137079,1286.140000,8753.882,ok,422.4
level20|w050,34,nbs,3741292,91343787,1286.137079,1286.140000,7055.725,ok,403.9
level20|w050,35,astar,2535311,62060060,742.289711,742.290000,4135.480,ok,361.7
level20|w050,35,mm,0,0,0,742.290000,300000.000,timeout,810.8
level20|w050,35,bae,2409511,58892988,742.289711,742.290000,6138.742,ok,336.7
level20|w050,35,bia,3100836,75737306,742.289711,742.290000,6676.593,ok,362.5
level20|w050,35,nbs,2885904,70599327,742.289711,742.290000,5456.777,ok,353.8
level20|w050,36,astar,2161986,52475298,724.249486,724.249000,3384.423,ok,361.7
level20|w050,36,mm,0,0,0,724.249000,300000.000,timeout,778.7
