instance,cstar,fwd_cand,bwd_cand,mvc
0,1206.369520,1896210,2310586,1896210
1,607.588451,541153,988162,541153
2,704.784708,1146226,1501350,1146226
3,1070.909011,2029897,2576208,2029897
4,1399.723401,2957397,2974206,2957397
5,1410.641353,2089022,3071591,2089022
6,927.571936,753975,861455,753975
7,1492.602060,2585561,3086210,2585561
8,665.907413,739455,1296917,739455
9,793.018117,1416400,1520759,1416400
10,1352.628097,2629527,2677188,2629527
11,1453.165401,2683866,3005378,2683866
12,1401.740259,2612014,3096118,2612014
13,1400.919361,2756489,2894849,2756489
14,1114.763960,1027116,1771217,1027116
15,1062.456374,1441104,1678993,1441104
16,1182.378455,1910741,2337591,1910741
17,912.397693,860487,1098586,860487
18,1197.730930,2628467,2649449,2628467
19,1175.899296,1471373,2654853,1471373
20,1322.484644,2479875,2837185,2479875
21,1182.255312,2134543,2340373,2134543
22,769.011703,649765,1125089,649765
23,1059.479496,1837436,2204890,1837436
24,708.502571,407920,927599,407920
25,498.811667,136225,149560,136225
26,792.288060,1071900,1217405,1071900
27,1094.625812,1808346,2101016,1808346
28,682.074030,589577,710301,589577
29,1283.738406,2433940,2897066,2433940
30,977.631399,1642813,2598168,1642813
31,1469.448944,2642390,3081173,2642390
32,1219.495282,1881320,2391151,1881320
33,1196.788883,1763471,2254762,1763471
34,1286.137079,2612894,2994022,2612894
35,742.289711,769709,859407,769709
36,724.249486,829657,1463710,829657
37,751.213197,1101646,1159035,1101646
38,509.223642,377616,1039399,377616
39,979.055953,1411288,1513524,1411288
40,1398.767167,2543274,2824776,2543274
41,1170.371998,1732068,2253563,1732068
42,358.364908,106081,190968,106081
43,996.244577,1456673,1678414,1456673
44,1294.975029,2868394,2881642,2868394
45,1371.183374,2781528,3014865,2781528
46,1035.703820,1355883,1875702,1355883
47,1022.591174,1673183,2660644,1673183
48,621.265131,438151,540262,438151
49,1459.382197,2911318,3096936,2911318
50,643.367042,739639,1083436,739639
51,649.713588,679280,1084350,679280
52,1317.426015,2000894,2485416,2000894
53,1245.028852,2599888,2923611,2599888
54,999.690028,1522354,2060665,1522354
55,1167.622896,2000966,2091511,2000966
56,1009.448169,1552523,1651403,1552523
57,1393.115170,2800222,3063729,2800222
58,576.151897,181531,187382,181531
59,1146.624547,2059826,2655543,2059826
60,1431.387055,2519085,2758622,2519085
61,1388.891574,2796462,3037660,2796462
62,1207.391377,1971039,2651767,1971039
63,1451.602929,2715705,2743899,2715705
64,504.978189,332580,806203,332580
65,628.186676,559286,1321919,559286
66,584.598948,483602,1024889,483602
67,1208.683177,1792876,2436782,1792876
68,1358.088456,2751050,3038485,2751050
69,741.769599,875886,1530187,875886
70,934.664236,1325367,1824414,1325367
71,1272.594672,2283938,2624377,2283938
72,1122.987222,1926576,2131747,1926576
73,1442.209360,2994874,3093749,2994874
74,794.149517,1311033,1321954,1311033
75,856.533029,1160805,1435030,1160805
76,619.869620,966025,1210468,966025
77,1394.541577,2449404,2895025,2449404
78,961.110021,1215932,1673876,1215932
79,1477.535797,2541594,2891879,2541594
