tag,instance,alg,expanded,generated,cost,optimal,time_ms,status,peak_mb
plant01|w040,0,astar,1798023,45312804,235.107596,235.108000,5330.900,ok,204.1
plant01|w040,0,mm,0,0,0,235.108000,300000.000,timeout,353.4
plant01|w040,0,bae,1388520,35065365,235.107596,235.108000,9289.660,ok,215.0
plant01|w040,0,bia,2052753,51658923,235.107596,235.108000,10828.769,ok,214.5
plant01|w040,0,nbs,1626686,41042944,235.107596,235.108000,6028.595,ok,172.2
plant01|w040,1,astar,348663,8781722,98.270620,98.270600,777.623,ok,47.6
plant01|w040,1,mm,0,0,0,98.270600,300000.000,timeout,77.8
plant01|w040,1,bae,200870,5041884,98.270620,98.270600,1071.548,ok,32.9
plant01|w040,1,bia,548923,13856791,98.270620,98.270600,3192.934,ok,67.3
plant01|w040,1,nbs,342086,8639195,98.270620,98.270600,1400.317,ok,45.1
plant01|w040,2,astar,831193,20936075,154.327115,154.327000,3043.098,ok,97.4
plant01|w040,2,mm,0,0,0,154.327000,300000.000,timeout,192.3
plant01|w040,2,bae,475803,11863940,154.327115,154.327000,2324.046,ok,84.0
plant01|w040,2,bia,1219975,30807309,154.327115,154.327000,6340.976,ok,135.1
plant01|w040,2,nbs,758764,19009139,154.327115,154.327000,2530.749,ok,88.7
plant01|w040,3,astar,1132053,28566312,171.944280,171.944000,3226.247,ok,171.5
plant01|w040,3,mm,0,0,0,171.944000,300000.000,timeout,260.2
plant01|w040,3,bae,742032,18673898,171.944280,171.944000,5202.894,ok,108.9
plant01|w040,3,bia,1568229,39608577,171.944280,171.944000,10078.161,ok,175.5
plant01|w040,3,nbs,1064676,26807752,171.944280,171.944000,3405.931,ok,131.9
plant01|w040,4,astar,1360654,34348889,167.447535,167.448000,3668.224,ok,172.4
plant01|w040,4,mm,0,0,0,167.448000,300000.000,timeout,280.9
plant01|w040,4,bae,857223,21624524,167.447535,167.448000,5569.577,ok,135.9
plant01|w040,4,bia,1787859,45081194,167.447535,167.448000,10474.614,ok,193.9
plant01|w040,4,nbs,1253176,31568043,167.447535,167.448000,5141.169,ok,135.6
plant01|w040,5,astar,1652320,41759395,203.992226,203.992000,5410.135,ok,191.3
plant01|w040,5,mm,0,0,0,203.992000,300000.000,timeout,369.9
plant01|w040,5,bae,1241435,31408141,203.992226,203.992000,7484.743,ok,176.0
plant01|w040,5,bia,2021207,50919522,203.992226,203.992000,9362.245,ok,212.2
plant01|w040,5,nbs,1550228,39108205,203.992226,203.992000,5752.394,ok,174.2
plant01|w040,6,astar,962699,24215223,160.709949,160.710000,2908.500,ok,112.1
plant01|w040,6,mm,0,0,0,160.710000,300000.000,timeout,186.1
plant01|w040,6,bae,513899,12874963,160.709949,160.710000,3485.042,ok,84.5
plant01|w040,6,bia,1394747,35179963,160.709949,160.710000,8877.741,ok,154.1
plant01|w040,6,nbs,829508,20825495,160.709949,160.710000,3833.732,ok,89.9
