instance,cstar,fwd_cand,bwd_cand,mvc
0,235.107596,1056024,1357297,1056024
1,98.270620,72440,92933,72439
2,154.327115,221390,418733,221390
3,171.944280,342933,564019,342933
4,167.447535,482375,472178,472177
5,203.992226,858357,929380,858357
6,160.709949,270414,388876,270414
7,137.928687,328196,300546,300546
8,141.864419,270741,410943,270741
9,193.107789,709112,796736,709112
10,168.804139,352224,448467,352224
11,107.686047,166717,167516,166717
12,133.584084,227229,235773,227229
13,161.435632,352184,378971,352184
14,198.385067,697197,509151,509151
15,147.959337,329164,475182,329164
16,209.730348,765236,839568,765236
17,141.192024,134992,294948,134992
18,182.609637,430141,411887,411887
19,135.797287,179223,232115,179223
20,212.579903,755021,977817,755021
21,151.681189,315477,387753,315477
22,207.083016,806858,831783,806858
23,114.911636,137877,142416,137877
24,144.347758,402069,408775,402069
25,187.785578,630989,794433,630989
26,116.545853,111735,157686,111735
27,164.823272,493829,556808,493829
28,162.031134,455218,559122,455218
29,148.664138,252366,368734,252366
30,176.469927,567991,443265,443265
31,190.779752,494323,522787,494323
32,140.421497,229352,254802,229352
33,190.712084,551763,593975,551763
34,142.502087,222263,168357,168357
35,88.065481,57355,68115,57355
36,118.937481,132608,161776,132608
37,124.333430,185073,207470,185073
38,194.808267,413328,648544,413328
39,136.260176,324852,344868,324852
40,211.573884,723868,1126530,723868
41,150.270911,316206,333342,316206
42,129.491836,239001,236545,236545
43,153.459244,128577,177621,128577
44,196.424949,474583,435604,435604
45,115.410569,156830,172194,156830
46,201.706742,376568,496925,376568
47,127.906778,274719,273352,273352
48,210.340037,646981,959833,646981
49,172.620320,622129,646903,622129
50,140.626688,362376,349228,349228
51,107.676576,121927,122330,121927
52,70.740115,14299,30231,14299
53,172.634024,460370,405558,405558
54,195.908236,444752,757294,444752
55,186.997813,593826,629193,593826
56,157.960118,433410,498314,433410
57,133.239725,304052,378441,304052
58,194.392789,553038,677810,553038
59,193.574420,559613,670222,559613
60,161.344114,460851,476797,460851
61,142.427568,453596,325996,325996
62,112.605508,193353,211949,193353
63,164.947196,456948,602257,456948
64,145.493294,259961,427420,259961
65,202.373603,867516,972438,867516
66,193.817983,583723,616106,583723
67,106.353881,88705,141945,88705
68,198.471921,689230,717033,689230
69,155.717962,381322,558443,381322
70,219.229957,1088195,973911,973911
71,185.434664,448610,449955,448610
72,197.949383,391377,542942,391377
73,100.737928,110949,110012,110012
74,188.923346,554553,546723,546723
75,145.974446,388743,333506,333506
76,118.262363,163999,170241,163999
77,170.336533,421907,578859,421907
78,152.092732,341723,427625,341723
79,139.655203,107671,110558,107671
