build,map,config,tag,instance,alg,expanded,generated,cost,optimal,time_ms,status,peak_mb,discarded
bin-nbs,level02,nodiag,,383,nbs,1881820,10981031,1830.000000,1399.240000,2341.098,ok,237.8,4602
bin-nbs-adm,level02,nodiag,,383,nbs,3831112,22435898,1830.000000,1399.240000,5268.500,ok,407.1,0
bin-nbs,level02,nodiag,,75,nbs,1783340,10406009,1776.000000,1389.650000,2155.048,ok,226.4,4303
bin-nbs-adm,level02,nodiag,,75,nbs,3604956,21107075,1776.000000,1389.650000,4543.372,ok,388.5,0
bin-nbs,level02,nodiag,,154,nbs,2157574,12578335,2042.000000,1561.420000,2643.624,ok,300.1,4720
bin-nbs-adm,level02,nodiag,,154,nbs,3896382,22806571,2042.000000,1561.420000,4948.408,ok,410.9,0
bin-nbs,level02,nodiag,,53,nbs,1484980,8663849,1554.000000,1197.260000,1653.981,ok,212.3,796
bin-nbs-adm,level02,nodiag,,53,nbs,3132180,18363473,1554.000000,1197.260000,3843.783,ok,364.7,0
bin-nbs,level02,nodiag,,245,nbs,2222124,12957473,2068.000000,1584.190000,2521.376,ok,299.5,12244
bin-nbs-adm,level02,nodiag,,245,nbs,3962636,23195439,2068.000000,1584.190000,5005.787,ok,415.8,0
bin-nbs,level02,nodiag,,140,nbs,2172208,12663664,2060.000000,1583.500000,2469.541,ok,299.5,4622
bin-nbs-adm,level02,nodiag,,140,nbs,3880316,22709766,2060.000000,1583.500000,4913.163,ok,410.3,0
bin-nbs,level02,nodiag,,185,nbs,1832004,10686887,1780.000000,1398.900000,2040.648,ok,231.3,4936
bin-nbs-adm,level02,nodiag,,185,nbs,3629250,21244617,1780.000000,1398.900000,4571.859,ok,390.8,0
bin-nbs,level02,nodiag,,350,nbs,2208518,12872233,2129.000000,1641.140000,2401.243,ok,299.0,732
bin-nbs-adm,level02,nodiag,,350,nbs,4005788,23440832,2129.000000,1641.140000,4803.128,ok,419.4,0
bin-nbs,level05,diag,,119,nbs,2236484,54228280,1811.258761,1811.260000,4877.650,ok,373.7,12240
bin-nbs-adm,level05,diag,,119,nbs,3727786,90937159,1811.258761,1811.260000,9650.194,ok,488.1,0
bin-nbs,level05,diag,,353,nbs,2244650,54472673,1615.970361,1615.970000,5089.700,ok,373.0,8081
bin-nbs-adm,level05,diag,,353,nbs,3510244,85731803,1615.970361,1615.970000,9264.176,ok,465.4,0
bin-nbs,level14,nodiag,,483,nbs,4901656,28558328,2689.000000,2099.720000,6090.810,ok,623.8,1000
bin-nbs-adm,level14,nodiag,,483,nbs,6633728,38685816,2689.000000,2099.720000,8860.685,ok,779.7,0
bin-nbs,level14,nodiag,,8,nbs,2203472,12785381,2184.000000,1652.840000,2513.904,ok,392.6,962
bin-nbs-adm,level14,nodiag,,8,nbs,3448320,20098443,2184.000000,1652.840000,4021.513,ok,474.9,0
