map,config,instance,cstar,fwd_cand,bwd_cand,mvc,mvc_eps,pstar
level02,nodiag,383,1830.000000,3306250,3998282,3280073,3279058,0.8951
level02,nodiag,75,1776.000000,3044239,2954574,2953828,2946560,0.5518
level02,nodiag,154,2042.000000,3683191,4263366,3513935,3506559,0.5353
level02,nodiag,53,1554.000000,2887189,2380912,2380912,2380912,0.0000
level02,nodiag,245,2068.000000,3638560,4406805,3540601,3538134,0.8723
level02,nodiag,140,2060.000000,3524788,4345153,3444273,3441845,0.8718
level02,nodiag,185,1780.000000,3338265,2857559,2857559,2857559,0.0000
level02,nodiag,350,2129.000000,3392784,4615105,3392784,3392784,1.0000
level05,diag,119,1811.258761,3310397,3984391,3310397,3310397,1.0000
level05,diag,353,1615.970361,2984068,3999344,2984068,2984068,1.0000
level14,nodiag,483,2689.000000,5928768,6135535,5928768,5928768,1.0000
level14,nodiag,8,2184.000000,3120624,2691391,2643304,2641725,0.2729
