VoxelMap: loaded 'benchmarks/industrial-plants/plants/plant01.3dmap' [voxel] 195x128x100, 87620 listed voxels, diagonals=1
instance,alg,expanded,generated,cost,optimal,time_ms,optimal_ok
0,astar,2,17,1.414214,1.414210,0.011,1
0,rastar,2,17,1.414214,1.414210,0.003,1
0,mm,1,17,1.414214,1.414210,0.014,1
0,bae,1,17,1.414214,1.414210,0.006,1
0,nbs,1,17,1.414214,1.414210,0.007,1
0,gbfs,2,0,2.828427,1.414210,0.010,0
1,astar,2,17,1.414214,1.414210,0.003,1
1,rastar,2,17,1.414214,1.414210,0.009,1
1,mm,1,17,1.414214,1.414210,0.002,1
1,bae,1,17,1.414214,1.414210,0.011,1
1,nbs,1,17,1.414214,1.414210,0.003,1
1,gbfs,2,0,1.414214,1.414210,0.006,0
2,astar,3,34,2.000000,2.000000,0.005,1
2,rastar,3,34,2.000000,2.000000,0.003,1
2,mm,2,34,2.000000,2.000000,0.016,1
2,bae,2,34,2.000000,2.000000,0.008,1
2,nbs,2,34,2.000000,2.000000,0.016,1
2,gbfs,2,0,3.464102,2.000000,0.004,0
3,astar,3,34,2.414214,2.414210,0.004,1
3,rastar,3,34,2.414214,2.414210,0.003,1
3,mm,2,34,2.414214,2.414210,0.012,1
3,bae,2,34,2.414214,2.414210,0.004,1
3,nbs,2,34,2.414214,2.414210,0.008,1
3,gbfs,2,0,2.414214,2.414210,0.003,0
4,astar,3,34,2.414214,2.414210,0.004,1
4,rastar,3,34,2.414214,2.414210,0.003,1
4,mm,2,34,2.414214,2.414210,0.005,1
4,bae,2,34,2.414214,2.414210,0.003,1
4,nbs,2,34,2.414214,2.414210,0.004,1
4,gbfs,2,0,2.414214,2.414210,0.003,0
5,astar,3,34,2.000000,2.000000,0.003,1
5,rastar,3,34,2.000000,2.000000,0.003,1
5,mm,2,34,2.000000,2.000000,0.005,1
5,bae,2,34,2.000000,2.000000,0.003,1
5,nbs,2,34,2.000000,2.000000,0.004,1
5,gbfs,2,0,3.464102,2.000000,0.002,0
6,astar,3,34,2.828427,2.828430,0.003,1
6,rastar,3,34,2.828427,2.828430,0.003,1
6,mm,2,34,2.828427,2.828430,0.005,1
6,bae,2,34,2.828427,2.828430,0.003,1
6,nbs,2,34,2.828427,2.828430,0.004,1
6,gbfs,2,0,2.828427,2.828430,0.003,0
7,astar,3,34,2.000000,2.000000,0.003,1
7,rastar,3,34,2.000000,2.000000,0.002,1
7,mm,2,34,2.000000,2.000000,0.005,1
7,bae,2,34,2.000000,2.000000,0.003,1
7,nbs,2,34,2.000000,2.000000,0.004,1
7,gbfs,2,0,2.828427,2.000000,0.002,0
8,astar,3,34,2.414214,2.414210,0.003,1
8,rastar,3,34,2.414214,2.414210,0.003,1
8,mm,2,34,2.414214,2.414210,0.004,1
8,bae,2,34,2.414214,2.414210,0.002,1
8,nbs,2,34,2.414214,2.414210,0.003,1
8,gbfs,2,0,2.414214,2.414210,0.002,0
9,astar,3,34,2.414214,2.414210,0.003,1
9,rastar,3,34,2.414214,2.414210,0.003,1
